Team,Player A,Player B,Correlation,Total Points A,Total Points B,pair_id,Correlation_2023,Total Points A_2023,Total Points B_2023
PIT,Matt Grzelcyk,Rickard Rakell,0.54,11,7,Matt Grzelcyk-Rickard Rakell,,,
OTT,Josh Norris,Ridly Greig,0.53,4,12,Josh Norris-Ridly Greig,0.14,26.0,30.0
TBL,Conor Geekie,Michael Eyssimont,0.53,1,3,Conor Geekie-Michael Eyssimont,,,
PHI,Anthony Richard,Tyson Foerster,0.53,4,6,Anthony Richard-Tyson Foerster,,,
PHI,Anthony Richard,Noah Cates,0.53,2,6,Anthony Richard-Noah Cates,,,
VGK,Ivan Barbashev,Mark Stone,0.53,17,21,Ivan Barbashev-Mark Stone,0.11,45.0,53.0
VGK,Jack Eichel,Mark Stone,0.53,27,21,Jack Eichel-Mark Stone,0.31,68.0,53.0
VGK,Jack Eichel,Shea Theodore,0.53,27,13,Jack Eichel-Shea Theodore,0.39,68.0,42.0
DAL,Logan Stankoven,Roope Hintz,0.53,10,14,Logan Stankoven-Roope Hintz,0.01,65.0,14.0
WSH,Brandon Duhaime,Jakob Chychrun,0.53,5,7,Brandon Duhaime-Jakob Chychrun,,,
CGY,Connor Zary,Rasmus Andersson,0.53,8,11,Connor Zary-Rasmus Andersson,0.04,34.0,39.0
NYI,Anders Lee,Scott Mayfield,0.53,13,3,Anders Lee-Scott Mayfield,0.28,37.0,5.0
MIN,Jonas Brodin,Matt Boldy,0.53,18,6,Jonas Brodin-Matt Boldy,0.28,27.0,69.0
FLA,Adam Boqvist,Anton Lundell,0.53,14,2,Adam Boqvist-Anton Lundell,,,
TOR,John Tavares,William Nylander,0.53,20,17,John Tavares-William Nylander,0.38,98.0,65.0
VAN,Brock Boeser,Quinn Hughes,0.53,11,17,Brock Boeser-Quinn Hughes,0.48,73.0,92.0
STL,Radek Faksa,Scott Perunovich,0.53,4,2,Radek Faksa-Scott Perunovich,,,
TOR,Chris Tanev,Morgan Rielly,0.53,13,3,Chris Tanev-Morgan Rielly,,,
NSH,Filip Forsberg,Tommy Novak,0.53,13,4,Filip Forsberg-Tommy Novak,0.12,94.0,45.0
STL,Alexey Toropchenko,Scott Perunovich,0.53,4,2,Alexey Toropchenko-Scott Perunovich,-0.03,21.0,17.0
NSH,Gustav Nyquist,Steven Stamkos,0.53,8,8,Gustav Nyquist-Steven Stamkos,,,
NSH,Jeremy Lauzon,Zachary L'Heureux,0.53,3,1,Jeremy Lauzon-Zachary L'Heureux,,,
WSH,Andrew Mangiapane,Hendrix Lapierre,0.53,7,2,Andrew Mangiapane-Hendrix Lapierre,,,
NJD,Dawson Mercer,Dougie Hamilton,0.53,11,15,Dawson Mercer-Dougie Hamilton,0.06,33.0,16.0
CGY,Andrei Kuzmenko,Nazem Kadri,0.53,9,9,Andrei Kuzmenko-Nazem Kadri,0.54,75.0,46.0
CGY,Brayden Pachal,Nazem Kadri,0.53,9,1,Brayden Pachal-Nazem Kadri,-0.04,75.0,7.0
WSH,Jakob Chychrun,Martin Fehervary,0.53,7,3,Jakob Chychrun-Martin Fehervary,,,
BUF,Henri Jokiharju,Mattias Samuelsson,0.52,3,1,Henri Jokiharju-Mattias Samuelsson,-0.12,20.0,7.0
ANA,Cutter Gauthier,Ross Johnston,0.52,6,3,Cutter Gauthier-Ross Johnston,,1.0,4.0
VGK,Shea Theodore,Victor Olofsson,0.52,3,13,Shea Theodore-Victor Olofsson,,,
TOR,Conor Timmins,Steven Lorentz,0.52,4,4,Conor Timmins-Steven Lorentz,,,
NSH,Brady Skjei,Cole Smith,0.52,3,6,Brady Skjei-Cole Smith,,,
NYR,Chris Kreider,Jacob Trouba,0.52,8,5,Chris Kreider-Jacob Trouba,0.15,75.0,22.0
NJD,Dawson Mercer,Nico Hischier,0.52,20,11,Dawson Mercer-Nico Hischier,0.12,67.0,33.0
OTT,Brady Tkachuk,Tyler Kleven,0.52,19,1,Brady Tkachuk-Tyler Kleven,,,
DAL,Jason Robertson,Tyler Seguin,0.52,8,14,Jason Robertson-Tyler Seguin,0.03,80.0,52.0
VGK,Tomas Hertl,Victor Olofsson,0.52,15,3,Tomas Hertl-Victor Olofsson,,,
VAN,Tyler Myers,Vincent Desharnais,0.52,1,3,Tyler Myers-Vincent Desharnais,,,
TOR,Chris Tanev,Matthew Knies,0.52,12,3,Chris Tanev-Matthew Knies,,,
COL,Josh Manson,Samuel Girard,0.52,10,5,Josh Manson-Samuel Girard,0.02,18.0,25.0
MIN,Jonas Brodin,Marcus Johansson,0.52,4,6,Jonas Brodin-Marcus Johansson,0.14,30.0,27.0
NYI,Brock Nelson,Ryan Pulock,0.52,10,7,Brock Nelson-Ryan Pulock,0.01,69.0,19.0
FLA,Anton Lundell,Eetu Luostarinen,0.52,14,7,Anton Lundell-Eetu Luostarinen,0.23,35.0,27.0
CHI,Jason Dickinson,Philipp Kurashev,0.52,5,4,Jason Dickinson-Philipp Kurashev,0.05,35.0,54.0
ANA,Mason McTavish,Robby Fabbri,0.51,2,8,Mason McTavish-Robby Fabbri,,,
CGY,Anthony Mantha,Jake Bean,0.51,7,3,Anthony Mantha-Jake Bean,,,
TOR,Mitch Marner,William Nylander,0.51,24,20,Mitch Marner-William Nylander,0.27,85.0,98.0
NJD,Jonas Siegenthaler,Paul Cotter,0.51,12,7,Jonas Siegenthaler-Paul Cotter,,,
WSH,Connor McMichael,Dylan Strome,0.51,19,24,Connor McMichael-Dylan Strome,0.19,67.0,33.0
ANA,Ross Johnston,Trevor Zegras,0.51,3,4,Ross Johnston-Trevor Zegras,0.01,4.0,15.0
TOR,Pontus Holmberg,Steven Lorentz,0.51,2,4,Pontus Holmberg-Steven Lorentz,,,
SJS,Carl Grundstrom,Jake Walman,0.51,3,10,Carl Grundstrom-Jake Walman,,,
MTL,Juraj Slafkovsky,Kirby Dach,0.51,8,11,Juraj Slafkovsky-Kirby Dach,1.0,2.0,50.0
LAK,Anze Kopitar,Kevin Fiala,0.51,12,21,Anze Kopitar-Kevin Fiala,0.33,73.0,70.0
MTL,Cole Caufield,Lane Hutson,0.51,15,11,Cole Caufield-Lane Hutson,,65.0,2.0
MTL,Christian Dvorak,Nick Suzuki,0.51,7,18,Christian Dvorak-Nick Suzuki,0.11,9.0,77.0
MTL,Kirby Dach,Mike Matheson,0.51,8,12,Kirby Dach-Mike Matheson,1.0,2.0,62.0
NJD,Dougie Hamilton,Jonas Siegenthaler,0.51,15,7,Dougie Hamilton-Jonas Siegenthaler,0.18,16.0,9.0
CAR,Jack Roslovic,Sebastian Aho,0.51,15,10,Jack Roslovic-Sebastian Aho,,,
WSH,Pierre-Luc Dubois,Rasmus Sandin,0.51,11,9,Pierre-Luc Dubois-Rasmus Sandin,,,
SEA,Brandon Montour,Jared McCann,0.51,21,11,Brandon Montour-Jared McCann,,,
WPG,Josh Morrissey,Nikolaj Ehlers,0.51,20,17,Josh Morrissey-Nikolaj Ehlers,0.25,61.0,69.0
PIT,Bryan Rust,Evgeni Malkin,0.51,19,7,Bryan Rust-Evgeni Malkin,-0.06,67.0,56.0
PIT,Drew O'Connor,Jesse Puljujarvi,0.51,6,7,Drew O'Connor-Jesse Puljujarvi,-0.1,33.0,4.0
WPG,Alex Iafallo,Gabriel Vilardi,0.51,6,14,Alex Iafallo-Gabriel Vilardi,-0.11,27.0,36.0
UTA,Clayton Keller,Nick Schmaltz,0.51,15,12,Clayton Keller-Nick Schmaltz,,,
CGY,Andrei Kuzmenko,Kevin Rooney,0.51,9,1,Andrei Kuzmenko-Kevin Rooney,-0.16,46.0,4.0
WPG,Colin Miller,Logan Stanley,0.51,7,3,Colin Miller-Logan Stanley,,,
BUF,Bowen Byram,Jason Zucker,0.51,12,11,Bowen Byram-Jason Zucker,,,
PHI,Emil Andrae,Noah Cates,0.51,2,3,Emil Andrae-Noah Cates,,,
CBJ,Dante Fabbro,Justin Danforth,0.5,7,2,Dante Fabbro-Justin Danforth,,,
CBJ,Dante Fabbro,Yegor Chinakhov,0.5,11,2,Dante Fabbro-Yegor Chinakhov,,,
BUF,Dylan Cozens,Jiri Kulich,0.5,7,1,Dylan Cozens-Jiri Kulich,,,
CBJ,Adam Fantilli,Dante Fabbro,0.5,8,2,Adam Fantilli-Dante Fabbro,,,
NYR,Chris Kreider,Mika Zibanejad,0.5,8,12,Chris Kreider-Mika Zibanejad,0.4,75.0,72.0
NYI,Bo Horvat,Jean-Gabriel Pageau,0.5,14,9,Bo Horvat-Jean-Gabriel Pageau,0.13,68.0,33.0
ANA,Alex Killorn,Jansen Harkins,0.5,1,5,Alex Killorn-Jansen Harkins,,,
SJS,Jake Walman,Tyler Toffoli,0.5,14,10,Jake Walman-Tyler Toffoli,,,
NYR,Jacob Trouba,Jonny Brodzinski,0.5,2,5,Jacob Trouba-Jonny Brodzinski,0.1,19.0,22.0
CBJ,Dante Fabbro,Kirill Marchenko,0.5,16,2,Dante Fabbro-Kirill Marchenko,,,
CBJ,Dante Fabbro,Sean Monahan,0.5,13,2,Dante Fabbro-Sean Monahan,,,
ANA,Jansen Harkins,Troy Terry,0.5,1,12,Jansen Harkins-Troy Terry,,,
ANA,Jansen Harkins,Ryan Strome,0.5,1,8,Jansen Harkins-Ryan Strome,,,
NSH,Brady Skjei,Michael McCarron,0.5,3,6,Brady Skjei-Michael McCarron,,,
NYI,Brock Nelson,Mathew Barzal,0.5,5,10,Brock Nelson-Mathew Barzal,0.03,80.0,69.0
CAR,Jordan Staal,Tyson Jost,0.5,1,7,Jordan Staal-Tyson Jost,,,
NSH,Alexandre Carrier,Juuso Parssinen,0.5,5,5,Alexandre Carrier-Juuso Parssinen,,,
NYI,Mathew Barzal,Simon Holmstrom,0.5,5,8,Mathew Barzal-Simon Holmstrom,0.14,80.0,25.0
TBL,Brayden Point,Jake Guentzel,0.5,17,13,Brayden Point-Jake Guentzel,,,
CGY,Andrei Kuzmenko,Mikael Backlund,0.5,9,9,Andrei Kuzmenko-Mikael Backlund,-0.24,39.0,46.0
WSH,Connor McMichael,Pierre-Luc Dubois,0.5,11,19,Connor McMichael-Pierre-Luc Dubois,,,
CGY,Brayden Pachal,Jake Bean,0.5,3,1,Brayden Pachal-Jake Bean,,,
CAR,Jaccob Slavin,Jack Drury,0.5,6,7,Jaccob Slavin-Jack Drury,-0.04,27.0,37.0
CBJ,Cole Sillinger,Dante Fabbro,0.5,9,2,Cole Sillinger-Dante Fabbro,,,
CGY,Jake Bean,Kevin Bahl,0.5,6,3,Jake Bean-Kevin Bahl,,,
SEA,Eeli Tolvanen,Will Borgen,0.5,6,2,Eeli Tolvanen-Will Borgen,0.24,41.0,25.0
WPG,Neal Pionk,Nikolaj Ehlers,0.5,20,17,Neal Pionk-Nikolaj Ehlers,0.15,61.0,33.0
CGY,Andrei Kuzmenko,Jake Bean,0.5,9,3,Andrei Kuzmenko-Jake Bean,,,
WSH,Brandon Duhaime,Michael Sgarbossa,0.5,5,2,Brandon Duhaime-Michael Sgarbossa,,,
CGY,Justin Kirkland,Yegor Sharangovich,0.5,7,2,Justin Kirkland-Yegor Sharangovich,,,
EDM,Darnell Nurse,Noah Philp,0.5,1,9,Darnell Nurse-Noah Philp,,,
EDM,Leon Draisaitl,Noah Philp,0.5,24,1,Leon Draisaitl-Noah Philp,,,
DET,Marco Kasper,Vladimir Tarasenko,0.5,3,6,Marco Kasper-Vladimir Tarasenko,,,
VAN,Jonathan Lekkerimaki,Teddy Blueger,0.5,9,1,Jonathan Lekkerimaki-Teddy Blueger,,,
WSH,Michael Sgarbossa,Tom Wilson,0.5,2,13,Michael Sgarbossa-Tom Wilson,-0.2,7.0,35.0
OTT,Josh Norris,Shane Pinto,0.5,12,3,Josh Norris-Shane Pinto,-0.03,30.0,27.0
EDM,Noah Philp,Vasily Podkolzin,0.5,1,3,Noah Philp-Vasily Podkolzin,,,
CBJ,Dante Fabbro,Mathieu Olivier,0.5,7,2,Dante Fabbro-Mathieu Olivier,,,
EDM,Jeff Skinner,Noah Philp,0.5,1,6,Jeff Skinner-Noah Philp,,,
OTT,Thomas Chabot,Travis Hamonic,0.5,11,1,Thomas Chabot-Travis Hamonic,-0.02,30.0,6.0
NYR,Chris Kreider,Jonny Brodzinski,0.5,2,8,Chris Kreider-Jonny Brodzinski,0.09,19.0,75.0
TOR,Jake McCabe,Max Domi,0.5,6,5,Jake McCabe-Max Domi,,,
SJS,Mario Ferraro,Nico Sturm,0.5,6,2,Mario Ferraro-Nico Sturm,-0.12,13.0,21.0
CBJ,Dante Fabbro,Jake Christiansen,0.5,5,2,Dante Fabbro-Jake Christiansen,,,
ANA,Mason McTavish,Urho Vaakanainen,0.5,8,1,Mason McTavish-Urho Vaakanainen,,,
CBJ,Damon Severson,Dante Fabbro,0.5,2,8,Damon Severson-Dante Fabbro,,,
CBJ,Dante Fabbro,Dmitri Voronkov,0.5,3,2,Dante Fabbro-Dmitri Voronkov,,,
COL,John Ludvig,Ross Colton,0.5,9,2,John Ludvig-Ross Colton,,,
CBJ,Dante Fabbro,Ivan Provorov,0.5,2,5,Dante Fabbro-Ivan Provorov,,,
NYR,Reilly Smith,Sam Carrick,0.5,4,10,Reilly Smith-Sam Carrick,,,
SJS,Luke Kunin,Mario Ferraro,0.5,6,2,Luke Kunin-Mario Ferraro,-0.14,18.0,21.0
CHI,Taylor Hall,Teuvo Teravainen,0.5,6,8,Taylor Hall-Teuvo Teravainen,,,
VAN,Brock Boeser,Danton Heinen,0.5,11,8,Brock Boeser-Danton Heinen,,,
NYI,Jean-Gabriel Pageau,Kyle Palmieri,0.5,9,16,Jean-Gabriel Pageau-Kyle Palmieri,0.05,33.0,54.0
OTT,Jake Sanderson,Josh Norris,0.5,12,10,Jake Sanderson-Josh Norris,0.44,38.0,30.0
SJS,Cody Ceci,Will Smith,0.5,4,3,Cody Ceci-Will Smith,,,
SJS,Luke Kunin,Nico Sturm,0.5,6,6,Luke Kunin-Nico Sturm,0.14,18.0,13.0
WSH,Andrew Mangiapane,Tom Wilson,0.5,7,13,Andrew Mangiapane-Tom Wilson,,,
CHI,Philipp Kurashev,Seth Jones,0.5,4,10,Philipp Kurashev-Seth Jones,0.15,54.0,31.0
TBL,Anthony Cirelli,Darren Raddysh,0.5,16,3,Anthony Cirelli-Darren Raddysh,0.12,45.0,33.0
ANA,Isac Lundestrom,Ross Johnston,0.49,3,3,Isac Lundestrom-Ross Johnston,-0.09,4.0,11.0
MIN,Jared Spurgeon,Ryan Hartman,0.49,4,5,Jared Spurgeon-Ryan Hartman,-0.3,45.0,5.0
DAL,Jamie Benn,Sam Steel,0.49,8,7,Jamie Benn-Sam Steel,,,
VGK,Mark Stone,Shea Theodore,0.49,21,13,Mark Stone-Shea Theodore,0.39,53.0,42.0
TOR,Mitch Marner,Morgan Rielly,0.49,24,13,Mitch Marner-Morgan Rielly,0.34,85.0,58.0
NYI,Pierre Engvall,Simon Holmstrom,0.49,4,8,Pierre Engvall-Simon Holmstrom,-0.05,28.0,25.0
STL,Nathan Walker,Radek Faksa,0.49,4,4,Nathan Walker-Radek Faksa,,,
NYR,Chris Kreider,Reilly Smith,0.49,8,10,Chris Kreider-Reilly Smith,,,
CBJ,Kirill Marchenko,Mathieu Olivier,0.49,16,7,Kirill Marchenko-Mathieu Olivier,-0.11,42.0,12.0
PIT,Bryan Rust,Noel Acciari,0.49,5,7,Bryan Rust-Noel Acciari,0.35,7.0,56.0
CBJ,Cole Sillinger,James van Riemsdyk,0.49,9,4,Cole Sillinger-James van Riemsdyk,,,
CGY,Kevin Rooney,Matt Coronato,0.49,7,1,Kevin Rooney-Matt Coronato,,,
MTL,David Savard,Nick Suzuki,0.49,18,4,David Savard-Nick Suzuki,-0.04,77.0,24.0
ANA,Leo Carlsson,Ross Johnston,0.49,9,3,Leo Carlsson-Ross Johnston,-0.2,29.0,4.0
ANA,Frank Vatrano,Leo Carlsson,0.49,9,7,Frank Vatrano-Leo Carlsson,0.05,29.0,60.0
LAK,Andreas Englund,Quinton Byfield,0.49,9,1,Andreas Englund-Quinton Byfield,0.1,55.0,10.0
MTL,Emil Heineman,Juraj Slafkovsky,0.49,5,11,Emil Heineman-Juraj Slafkovsky,,,
SJS,Macklin Celebrini,Mikael Granlund,0.49,4,19,Macklin Celebrini-Mikael Granlund,,,
NYI,Dennis Cholowski,Maxim Tsyplakov,0.49,10,3,Dennis Cholowski-Maxim Tsyplakov,,,
STL,Brandon Saad,Jordan Kyrou,0.49,15,8,Brandon Saad-Jordan Kyrou,0.34,67.0,42.0
WSH,Connor McMichael,Jakob Chychrun,0.49,19,7,Connor McMichael-Jakob Chychrun,,,
VAN,Carson Soucy,Conor Garland,0.49,12,1,Carson Soucy-Conor Garland,-0.03,47.0,6.0
OTT,Adam Gaudette,Tim Stützle,0.49,8,21,Adam Gaudette-Tim Stützle,,,
NJD,Jack Hughes,Ondrej Palat,0.49,22,5,Jack Hughes-Ondrej Palat,-0.05,74.0,31.0
OTT,Tim Stützle,Zack MacEwen,0.49,3,21,Tim Stützle-Zack MacEwen,-0.03,3.0,70.0
OTT,Noah Gregor,Shane Pinto,0.49,3,3,Noah Gregor-Shane Pinto,,,
CBJ,Sean Kuraly,Zachary Aston-Reese,0.49,7,5,Sean Kuraly-Zachary Aston-Reese,,,
WPG,Josh Morrissey,Mark Scheifele,0.49,21,17,Josh Morrissey-Mark Scheifele,0.14,69.0,72.0
BOS,Andrew Peeke,Charlie McAvoy,0.49,7,2,Andrew Peeke-Charlie McAvoy,0.11,47.0,10.0
PHI,Matvei Michkov,Morgan Frost,0.49,6,15,Matvei Michkov-Morgan Frost,,,
CGY,Justin Kirkland,Rasmus Andersson,0.49,7,11,Justin Kirkland-Rasmus Andersson,,,
OTT,Ridly Greig,Thomas Chabot,0.48,4,11,Ridly Greig-Thomas Chabot,-0.01,26.0,30.0
UTA,Jack McBain,Nick Schmaltz,0.48,7,12,Jack McBain-Nick Schmaltz,,,
DET,Joe Veleno,Simon Edvinsson,0.48,2,6,Joe Veleno-Simon Edvinsson,-0.1,28.0,2.0
ANA,Cutter Gauthier,Isac Lundestrom,0.48,6,3,Cutter Gauthier-Isac Lundestrom,,1.0,11.0
WPG,Cole Perfetti,Neal Pionk,0.48,13,17,Cole Perfetti-Neal Pionk,0.15,33.0,38.0
NYR,Filip Chytil,Will Cuylle,0.48,9,11,Filip Chytil-Will Cuylle,-0.29,6.0,21.0
NYR,Jonny Brodzinski,Kaapo Kakko,0.48,2,8,Jonny Brodzinski-Kaapo Kakko,0.37,19.0,19.0
BUF,Beck Malenstyn,Zach Benson,0.48,4,3,Beck Malenstyn-Zach Benson,,,
NJD,Erik Haula,Paul Cotter,0.48,12,9,Erik Haula-Paul Cotter,,,
CBJ,James van Riemsdyk,Sean Monahan,0.48,13,4,James van Riemsdyk-Sean Monahan,,,
FLA,Adam Boqvist,Gustav Forsling,0.48,10,2,Adam Boqvist-Gustav Forsling,,,
DET,Christian Fischer,Simon Edvinsson,0.48,2,6,Christian Fischer-Simon Edvinsson,,,
DET,Erik Gustafsson,J.T. Compher,0.48,6,2,Erik Gustafsson-J.T. Compher,,,
SJS,Jack Thompson,Mikael Granlund,0.48,19,5,Jack Thompson-Mikael Granlund,,,
VGK,Kaedan Korczak,William Karlsson,0.48,9,3,Kaedan Korczak-William Karlsson,0.26,60.0,9.0
ANA,Alex Killorn,Cutter Gauthier,0.48,6,5,Alex Killorn-Cutter Gauthier,,1.0,36.0
OTT,Drake Batherson,Noah Gregor,0.48,16,3,Drake Batherson-Noah Gregor,,,
VGK,Brayden McNabb,Ivan Barbashev,0.48,17,2,Brayden McNabb-Ivan Barbashev,0.21,45.0,26.0
TOR,Auston Matthews,Morgan Rielly,0.48,11,13,Auston Matthews-Morgan Rielly,0.12,107.0,58.0
DAL,Jason Robertson,Logan Stankoven,0.48,8,14,Jason Robertson-Logan Stankoven,-0.11,80.0,14.0
UTA,Michael Kesselring,Nick Schmaltz,0.48,12,9,Michael Kesselring-Nick Schmaltz,,,
WSH,Aliaksei Protas,Dylan Strome,0.48,15,24,Aliaksei Protas-Dylan Strome,0.1,29.0,67.0
BUF,Connor Clifton,Jordan Greenway,0.48,6,3,Connor Clifton-Jordan Greenway,0.09,28.0,18.0
MIN,Declan Chisholm,Frederick Gaudreau,0.48,9,4,Declan Chisholm-Frederick Gaudreau,0.14,15.0,9.0
NYI,Anders Lee,Matt Martin,0.47,13,1,Anders Lee-Matt Martin,,,
WSH,Jakob Chychrun,John Carlson,0.47,12,7,Jakob Chychrun-John Carlson,,,
MTL,David Savard,Kirby Dach,0.47,8,4,David Savard-Kirby Dach,,2.0,24.0
MIN,Jakub Lauko,Kirill Kaprizov,0.47,31,4,Jakub Lauko-Kirill Kaprizov,,,
BUF,Jiri Kulich,Jordan Greenway,0.47,6,1,Jiri Kulich-Jordan Greenway,,,
BUF,Jack Quinn,Peyton Krebs,0.47,6,5,Jack Quinn-Peyton Krebs,0.31,17.0,19.0
VAN,Danton Heinen,J.T. Miller,0.47,8,16,Danton Heinen-J.T. Miller,,,
BUF,Henri Jokiharju,Jason Zucker,0.47,3,12,Henri Jokiharju-Jason Zucker,,,
VGK,Brayden McNabb,Jack Eichel,0.47,27,2,Brayden McNabb-Jack Eichel,0.41,68.0,26.0
COL,Devon Toews,Samuel Girard,0.47,10,4,Devon Toews-Samuel Girard,0.15,50.0,18.0
TOR,Conor Timmins,Jake McCabe,0.47,5,4,Conor Timmins-Jake McCabe,-0.03,28.0,10.0
PHI,Cam York,Travis Sanheim,0.47,11,3,Cam York-Travis Sanheim,0.12,30.0,44.0
CAR,Sebastian Aho,Shayne Gostisbehere,0.47,15,12,Sebastian Aho-Shayne Gostisbehere,,,
CBJ,Adam Fantilli,Cole Sillinger,0.47,8,9,Adam Fantilli-Cole Sillinger,0.21,27.0,32.0
PHI,Anthony Richard,Bobby Brink,0.47,8,6,Anthony Richard-Bobby Brink,,,
CAR,Brent Burns,Jack Drury,0.47,6,5,Brent Burns-Jack Drury,0.12,27.0,43.0
NYR,Adam Edstrom,Reilly Smith,0.47,2,10,Adam Edstrom-Reilly Smith,,,
NYI,Adam Pelech,Anders Lee,0.47,13,4,Adam Pelech-Anders Lee,0.14,37.0,16.0
TOR,Auston Matthews,Bobby McMann,0.47,11,7,Auston Matthews-Bobby McMann,0.21,107.0,24.0
WPG,Gabriel Vilardi,Kyle Connor,0.47,22,14,Gabriel Vilardi-Kyle Connor,0.41,61.0,36.0
CBJ,Cole Sillinger,Mathieu Olivier,0.47,7,9,Cole Sillinger-Mathieu Olivier,0.29,12.0,32.0
PHI,Emil Andrae,Erik Johnson,0.47,3,2,Emil Andrae-Erik Johnson,,,
NSH,Alexandre Carrier,Tommy Novak,0.47,4,5,Alexandre Carrier-Tommy Novak,,,
WSH,Dylan Strome,Trevor van Riemsdyk,0.47,24,8,Dylan Strome-Trevor van Riemsdyk,0.24,67.0,14.0
NYR,Adam Edstrom,Kaapo Kakko,0.47,2,8,Adam Edstrom-Kaapo Kakko,-0.27,2.0,19.0
BUF,Henri Jokiharju,JJ Peterka,0.47,16,3,Henri Jokiharju-JJ Peterka,-0.03,50.0,20.0
STL,Alexey Toropchenko,Nathan Walker,0.47,4,4,Alexey Toropchenko-Nathan Walker,0.43,21.0,13.0
ANA,Ryan Strome,Troy Terry,0.47,12,8,Ryan Strome-Troy Terry,-0.07,41.0,54.0
WPG,Alex Iafallo,Neal Pionk,0.47,6,17,Alex Iafallo-Neal Pionk,-0.03,27.0,33.0
MIN,Brock Faber,Declan Chisholm,0.46,4,9,Brock Faber-Declan Chisholm,-0.35,9.0,47.0
WSH,Alex Ovechkin,Trevor van Riemsdyk,0.46,20,8,Alex Ovechkin-Trevor van Riemsdyk,0.13,65.0,14.0
TBL,Brandon Hagel,Emil Lilleberg,0.46,17,5,Brandon Hagel-Emil Lilleberg,,,
TBL,Brayden Point,Ryan McDonagh,0.46,13,5,Brayden Point-Ryan McDonagh,,,
LAK,Adrian Kempe,Andreas Englund,0.46,18,1,Adrian Kempe-Andreas Englund,0.01,75.0,10.0
LAK,Anze Kopitar,Brandt Clarke,0.46,21,13,Anze Kopitar-Brandt Clarke,0.16,70.0,6.0
OTT,Michael Amadio,Noah Gregor,0.46,4,3,Michael Amadio-Noah Gregor,,,
CHI,Seth Jones,TJ Brodie,0.46,2,10,Seth Jones-TJ Brodie,,,
CHI,Connor Bedard,Seth Jones,0.46,13,10,Connor Bedard-Seth Jones,0.28,61.0,31.0
FLA,Anton Lundell,Sam Reinhart,0.46,14,28,Anton Lundell-Sam Reinhart,-0.17,94.0,35.0
DET,Andrew Copp,Michael Rasmussen,0.46,7,4,Andrew Copp-Michael Rasmussen,0.44,33.0,33.0
BUF,JJ Peterka,Ryan McLeod,0.46,12,16,JJ Peterka-Ryan McLeod,,,
VAN,Nils Hoglander,Pius Suter,0.46,5,8,Nils Hoglander-Pius Suter,0.06,36.0,29.0
WSH,John Carlson,Tom Wilson,0.46,13,12,John Carlson-Tom Wilson,0.2,35.0,52.0
PHI,Egor Zamula,Tyson Foerster,0.46,4,6,Egor Zamula-Tyson Foerster,-0.01,21.0,33.0
ANA,Leo Carlsson,Troy Terry,0.46,9,12,Leo Carlsson-Troy Terry,0.37,29.0,54.0
NJD,Dougie Hamilton,Jack Hughes,0.46,22,15,Dougie Hamilton-Jack Hughes,0.37,74.0,16.0
PIT,Kris Letang,Marcus Pettersson,0.46,6,8,Kris Letang-Marcus Pettersson,0.54,30.0,51.0
PIT,Erik Karlsson,Marcus Pettersson,0.46,11,8,Erik Karlsson-Marcus Pettersson,0.01,56.0,30.0
FLA,A.J. Greer,Aaron Ekblad,0.46,5,7,A.J. Greer-Aaron Ekblad,,,
UTA,Lawson Crouse,Logan Cooley,0.46,12,4,Lawson Crouse-Logan Cooley,,,
PHI,Noah Cates,Travis Sanheim,0.46,2,11,Noah Cates-Travis Sanheim,0.18,18.0,44.0
NJD,Nico Hischier,Stefan Noesen,0.46,20,16,Nico Hischier-Stefan Noesen,,,
OTT,Brady Tkachuk,Zack MacEwen,0.46,3,19,Brady Tkachuk-Zack MacEwen,-0.03,3.0,74.0
OTT,Drake Batherson,Tim Stützle,0.46,16,21,Drake Batherson-Tim Stützle,0.42,66.0,70.0
PIT,Erik Karlsson,Kris Letang,0.46,11,6,Erik Karlsson-Kris Letang,0.04,56.0,51.0
MIN,Frederick Gaudreau,Marat Khusnutdinov,0.46,9,2,Frederick Gaudreau-Marat Khusnutdinov,1.0,15.0,4.0
CHI,Alex Vlasic,Philipp Kurashev,0.46,4,7,Alex Vlasic-Philipp Kurashev,0.19,54.0,16.0
DAL,Colin Blackwell,Jason Robertson,0.46,4,8,Colin Blackwell-Jason Robertson,,,
WPG,Nikolaj Ehlers,Vladislav Namestnikov,0.46,20,12,Nikolaj Ehlers-Vladislav Namestnikov,0.11,61.0,37.0
CGY,Anthony Mantha,MacKenzie Weegar,0.45,7,8,Anthony Mantha-MacKenzie Weegar,,,
SEA,Chandler Stephenson,Jared McCann,0.45,21,10,Chandler Stephenson-Jared McCann,,,
NJD,Jonas Siegenthaler,Ondrej Palat,0.45,5,7,Jonas Siegenthaler-Ondrej Palat,0.21,31.0,9.0
CGY,Anthony Mantha,Yegor Sharangovich,0.45,7,2,Anthony Mantha-Yegor Sharangovich,,,
PHI,Jamie Drysdale,Matvei Michkov,0.45,15,3,Jamie Drysdale-Matvei Michkov,,,
PHI,Morgan Frost,Travis Konecny,0.45,6,22,Morgan Frost-Travis Konecny,0.11,41.0,68.0
CGY,Andrei Kuzmenko,Connor Zary,0.45,9,8,Andrei Kuzmenko-Connor Zary,0.15,46.0,34.0
TOR,Bobby McMann,Jake McCabe,0.45,7,5,Bobby McMann-Jake McCabe,0.15,24.0,28.0
