PlayerID,FirstName,LastName,TeamAbbrev,GameID,GameDate,Goals,Assists,Points,PlusMinus,PowerPlayGoals,PowerPlayPoints,GameWinningGoals,Shots,Shifts,PIM,TOI,OpponentAbbrev,HomeRoadFlag
8484153,Leo,Carlsson,ANA,2024020203,2024-11-05,0,0,0,0,0,0,0,2,20,2,17:39,VAN,H
8484153,Leo,Carlsson,ANA,2024020191,2024-11-03,0,0,0,0,0,0,0,2,19,0,16:08,CHI,H
8484153,Leo,Carlsson,ANA,2024020163,2024-10-31,0,0,0,0,0,0,0,1,22,0,18:51,PIT,R
8484153,Leo,Carlsson,ANA,2024020152,2024-10-29,1,0,1,0,1,1,0,1,20,0,16:44,NYI,R
8484153,Leo,Carlsson,ANA,2024020137,2024-10-27,0,0,0,-4,0,0,0,1,21,0,17:56,NJD,R
8484153,Leo,Carlsson,ANA,2024020128,2024-10-26,0,1,1,0,0,0,0,2,18,0,16:24,NYR,R
8484153,Leo,Carlsson,ANA,2024020105,2024-10-22,1,0,1,0,1,1,1,3,21,0,17:06,SJS,H
8484153,Leo,Carlsson,ANA,2024020090,2024-10-20,0,0,0,-1,0,0,0,1,21,0,17:57,LAK,H
8484153,Leo,Carlsson,ANA,2024020074,2024-10-18,1,0,1,0,0,0,0,3,21,0,19:31,COL,R
8484153,Leo,Carlsson,ANA,2024020060,2024-10-16,1,1,2,2,0,0,1,4,21,0,19:41,UTA,H
8484153,Leo,Carlsson,ANA,2024020041,2024-10-13,0,0,0,0,0,0,0,1,20,0,14:56,VGK,R
8484153,Leo,Carlsson,ANA,2024020037,2024-10-12,0,0,0,0,0,0,0,2,17,0,16:18,SJS,R
8477952,Robby,Fabbri,ANA,2024020203,2024-11-05,0,0,0,-1,0,0,0,0,21,0,17:04,VAN,H
8477952,Robby,Fabbri,ANA,2024020191,2024-11-03,0,0,0,-1,0,0,0,1,17,0,13:08,CHI,H
8477952,Robby,Fabbri,ANA,2024020163,2024-10-31,0,0,0,0,0,0,0,1,21,0,19:07,PIT,R
8477952,Robby,Fabbri,ANA,2024020152,2024-10-29,0,0,0,0,0,0,0,2,21,2,17:30,NYI,R
8477952,Robby,Fabbri,ANA,2024020137,2024-10-27,0,0,0,-2,0,0,0,0,21,0,17:19,NJD,R
8477952,Robby,Fabbri,ANA,2024020128,2024-10-26,0,0,0,-1,0,0,0,1,18,0,14:58,NYR,R
8477952,Robby,Fabbri,ANA,2024020105,2024-10-22,0,0,0,0,0,0,0,0,17,2,14:04,SJS,H
8477952,Robby,Fabbri,ANA,2024020090,2024-10-20,0,0,0,-2,0,0,0,0,22,0,17:40,LAK,H
8477952,Robby,Fabbri,ANA,2024020074,2024-10-18,0,0,0,0,0,0,0,0,23,2,21:39,COL,R
8477952,Robby,Fabbri,ANA,2024020060,2024-10-16,1,0,1,1,0,0,0,2,22,0,17:23,UTA,H
8477952,Robby,Fabbri,ANA,2024020041,2024-10-13,0,0,0,-1,0,0,0,3,21,0,18:02,VGK,R
8477952,Robby,Fabbri,ANA,2024020037,2024-10-12,0,0,0,1,0,0,0,0,19,0,13:42,SJS,R
8483445,Cutter,Gauthier,ANA,2024020203,2024-11-05,0,0,0,-1,0,0,0,3,19,0,12:31,VAN,H
8483445,Cutter,Gauthier,ANA,2024020191,2024-11-03,0,0,0,0,0,0,0,2,18,0,17:43,CHI,H
8483445,Cutter,Gauthier,ANA,2024020163,2024-10-31,0,1,1,-1,0,0,0,5,18,0,14:44,PIT,R
8483445,Cutter,Gauthier,ANA,2024020152,2024-10-29,0,0,0,0,0,0,0,4,13,0,11:12,NYI,R
8483445,Cutter,Gauthier,ANA,2024020137,2024-10-27,0,1,1,1,0,0,0,4,19,0,14:42,NJD,R
8483445,Cutter,Gauthier,ANA,2024020128,2024-10-26,0,0,0,-1,0,0,0,0,16,0,14:49,NYR,R
8483445,Cutter,Gauthier,ANA,2024020105,2024-10-22,0,2,2,0,0,2,0,4,20,0,15:44,SJS,H
8483445,Cutter,Gauthier,ANA,2024020090,2024-10-20,0,0,0,-1,0,0,0,1,23,0,17:57,LAK,H
8483445,Cutter,Gauthier,ANA,2024020074,2024-10-18,0,0,0,2,0,0,0,3,19,0,15:47,COL,R
8483445,Cutter,Gauthier,ANA,2024020060,2024-10-16,0,0,0,-1,0,0,0,2,12,2,12:49,UTA,H
8483445,Cutter,Gauthier,ANA,2024020041,2024-10-13,0,0,0,0,0,0,0,2,18,0,14:18,VGK,R
8483445,Cutter,Gauthier,ANA,2024020037,2024-10-12,0,0,0,0,0,0,0,1,15,0,14:49,SJS,R
8477527,Ross,Johnston,ANA,2024020203,2024-11-05,0,0,0,-1,0,0,0,0,13,0,8:34,VAN,H
8477527,Ross,Johnston,ANA,2024020191,2024-11-03,0,1,1,1,0,0,0,1,10,5,7:29,CHI,H
8477527,Ross,Johnston,ANA,2024020152,2024-10-29,0,0,0,0,0,0,0,0,12,0,9:57,NYI,R
8477527,Ross,Johnston,ANA,2024020137,2024-10-27,0,0,0,0,0,0,0,0,13,5,10:01,NJD,R
8477527,Ross,Johnston,ANA,2024020090,2024-10-20,0,0,0,0,0,0,0,0,12,0,8:07,LAK,H
8477527,Ross,Johnston,ANA,2024020074,2024-10-18,0,0,0,1,0,0,0,0,11,2,7:28,COL,R
8473986,Alex,Killorn,ANA,2024020203,2024-11-05,0,0,0,-1,0,0,0,0,27,0,17:49,VAN,H
8473986,Alex,Killorn,ANA,2024020191,2024-11-03,0,0,0,0,0,0,0,4,19,2,18:05,CHI,H
8473986,Alex,Killorn,ANA,2024020163,2024-10-31,1,0,1,0,0,0,0,2,20,0,17:31,PIT,R
8473986,Alex,Killorn,ANA,2024020152,2024-10-29,0,1,1,1,0,0,0,2,21,0,17:52,NYI,R
8473986,Alex,Killorn,ANA,2024020137,2024-10-27,0,0,0,-1,0,0,0,0,17,0,13:56,NJD,R
8473986,Alex,Killorn,ANA,2024020128,2024-10-26,0,0,0,-1,0,0,0,3,22,0,16:40,NYR,R
8473986,Alex,Killorn,ANA,2024020105,2024-10-22,1,0,1,1,0,0,0,3,21,0,16:30,SJS,H
8473986,Alex,Killorn,ANA,2024020090,2024-10-20,0,0,0,-1,0,0,0,1,22,2,18:10,LAK,H
8473986,Alex,Killorn,ANA,2024020074,2024-10-18,0,0,0,1,0,0,0,0,20,0,17:02,COL,R
8473986,Alex,Killorn,ANA,2024020060,2024-10-16,0,0,0,0,0,0,0,0,20,0,17:15,UTA,H
8473986,Alex,Killorn,ANA,2024020041,2024-10-13,0,0,0,0,0,0,0,1,18,2,13:58,VGK,R
8473986,Alex,Killorn,ANA,2024020037,2024-10-12,0,0,0,0,0,0,0,1,19,0,18:57,SJS,R
8481517,Brett,Leason,ANA,2024020163,2024-10-31,0,0,0,0,0,0,0,2,17,0,10:38,PIT,R
8481517,Brett,Leason,ANA,2024020128,2024-10-26,0,0,0,0,0,0,0,1,16,0,8:44,NYR,R
8481517,Brett,Leason,ANA,2024020105,2024-10-22,0,0,0,1,0,0,0,1,17,0,12:36,SJS,H
8481517,Brett,Leason,ANA,2024020090,2024-10-20,0,0,0,-1,0,0,0,0,15,0,11:22,LAK,H
8481517,Brett,Leason,ANA,2024020074,2024-10-18,0,0,0,0,0,0,0,0,15,0,9:10,COL,R
8481517,Brett,Leason,ANA,2024020060,2024-10-16,0,0,0,0,0,0,0,1,16,0,10:04,UTA,H
8481517,Brett,Leason,ANA,2024020041,2024-10-13,0,0,0,0,0,0,0,2,16,0,14:19,VGK,R
8481517,Brett,Leason,ANA,2024020037,2024-10-12,0,1,1,1,0,0,0,1,17,0,13:42,SJS,R
8480806,Isac,Lundestrom,ANA,2024020203,2024-11-05,0,0,0,-1,0,0,0,0,20,2,13:01,VAN,H
8480806,Isac,Lundestrom,ANA,2024020191,2024-11-03,0,0,0,0,0,0,0,1,14,0,9:30,CHI,H
8480806,Isac,Lundestrom,ANA,2024020163,2024-10-31,0,0,0,0,0,0,0,0,21,0,14:04,PIT,R
8480806,Isac,Lundestrom,ANA,2024020152,2024-10-29,0,0,0,0,0,0,0,1,21,0,15:47,NYI,R
8480806,Isac,Lundestrom,ANA,2024020137,2024-10-27,0,0,0,0,0,0,0,0,20,0,14:32,NJD,R
8480806,Isac,Lundestrom,ANA,2024020128,2024-10-26,0,0,0,0,0,0,0,1,17,0,12:30,NYR,R
8480806,Isac,Lundestrom,ANA,2024020105,2024-10-22,0,1,1,1,0,0,0,3,21,0,14:52,SJS,H
8480806,Isac,Lundestrom,ANA,2024020060,2024-10-16,0,0,0,0,0,0,0,1,19,0,11:18,UTA,H
8480806,Isac,Lundestrom,ANA,2024020041,2024-10-13,0,0,0,0,0,0,0,0,18,0,14:33,VGK,R
8480806,Isac,Lundestrom,ANA,2024020037,2024-10-12,1,0,1,1,0,0,1,2,18,0,14:06,SJS,R
8476934,Brock,McGinn,ANA,2024020203,2024-11-05,0,0,0,-1,0,0,0,0,21,0,12:39,VAN,H
8476934,Brock,McGinn,ANA,2024020191,2024-11-03,1,0,1,0,0,0,0,1,14,0,9:16,CHI,H
8476934,Brock,McGinn,ANA,2024020163,2024-10-31,0,0,0,0,0,0,0,0,19,0,12:07,PIT,R
8476934,Brock,McGinn,ANA,2024020152,2024-10-29,0,0,0,0,0,0,0,1,16,0,12:04,NYI,R
8476934,Brock,McGinn,ANA,2024020137,2024-10-27,1,0,1,1,0,0,0,2,18,0,12:32,NJD,R
8476934,Brock,McGinn,ANA,2024020128,2024-10-26,0,0,0,0,0,0,0,0,15,0,9:15,NYR,R
8476934,Brock,McGinn,ANA,2024020105,2024-10-22,0,0,0,0,0,0,0,1,16,0,12:01,SJS,H
8476934,Brock,McGinn,ANA,2024020090,2024-10-20,0,0,0,0,0,0,0,1,13,0,10:12,LAK,H
8476934,Brock,McGinn,ANA,2024020074,2024-10-18,0,0,0,-1,0,0,0,1,21,0,15:23,COL,R
8476934,Brock,McGinn,ANA,2024020060,2024-10-16,0,1,1,1,0,0,0,2,21,0,12:58,UTA,H
8476934,Brock,McGinn,ANA,2024020041,2024-10-13,0,0,0,0,0,0,0,0,14,0,10:11,VGK,R
8476934,Brock,McGinn,ANA,2024020037,2024-10-12,0,1,1,1,0,0,0,2,16,0,10:50,SJS,R
8482745,Mason,McTavish,ANA,2024020203,2024-11-05,0,1,1,-1,0,1,0,2,19,2,14:03,VAN,H
8482745,Mason,McTavish,ANA,2024020191,2024-11-03,1,0,1,-1,1,1,0,3,22,0,19:40,CHI,H
8482745,Mason,McTavish,ANA,2024020163,2024-10-31,0,0,0,0,0,0,0,0,19,2,13:19,PIT,R
8482745,Mason,McTavish,ANA,2024020152,2024-10-29,0,2,2,0,0,2,0,0,20,0,14:34,NYI,R
8482745,Mason,McTavish,ANA,2024020137,2024-10-27,0,0,0,0,0,0,0,2,20,0,14:33,NJD,R
8482745,Mason,McTavish,ANA,2024020128,2024-10-26,0,0,0,0,0,0,0,3,19,4,17:16,NYR,R
8482745,Mason,McTavish,ANA,2024020105,2024-10-22,0,1,1,0,0,1,0,2,22,0,16:54,SJS,H
8482745,Mason,McTavish,ANA,2024020090,2024-10-20,0,0,0,-2,0,0,0,1,22,2,16:59,LAK,H
8482745,Mason,McTavish,ANA,2024020074,2024-10-18,0,0,0,0,0,0,0,0,21,0,17:41,COL,R
8482745,Mason,McTavish,ANA,2024020060,2024-10-16,0,2,2,1,0,0,0,3,23,0,18:49,UTA,H
8482745,Mason,McTavish,ANA,2024020041,2024-10-13,0,0,0,-1,0,0,0,0,19,0,16:28,VGK,R
8482745,Mason,McTavish,ANA,2024020037,2024-10-12,0,0,0,1,0,0,0,2,21,4,15:28,SJS,R
8476458,Ryan,Strome,ANA,2024020203,2024-11-05,0,0,0,-1,0,0,0,1,22,0,14:18,VAN,H
8476458,Ryan,Strome,ANA,2024020191,2024-11-03,0,1,1,0,0,1,0,6,21,0,18:04,CHI,H
8476458,Ryan,Strome,ANA,2024020163,2024-10-31,0,0,0,0,0,0,0,0,18,0,12:40,PIT,R
8476458,Ryan,Strome,ANA,2024020152,2024-10-29,0,0,0,1,0,0,0,0,20,0,15:18,NYI,R
8476458,Ryan,Strome,ANA,2024020137,2024-10-27,1,1,2,2,0,0,0,2,19,0,13:30,NJD,R
8476458,Ryan,Strome,ANA,2024020128,2024-10-26,0,0,0,-1,0,0,0,1,18,0,15:53,NYR,R
8476458,Ryan,Strome,ANA,2024020105,2024-10-22,0,0,0,0,0,0,0,3,24,2,15:44,SJS,H
8476458,Ryan,Strome,ANA,2024020090,2024-10-20,1,0,1,-1,0,0,0,3,24,0,16:29,LAK,H
8476458,Ryan,Strome,ANA,2024020074,2024-10-18,1,0,1,0,0,0,0,1,21,0,17:20,COL,R
8476458,Ryan,Strome,ANA,2024020060,2024-10-16,0,1,1,-1,0,0,0,3,22,0,15:58,UTA,H
8476458,Ryan,Strome,ANA,2024020041,2024-10-13,0,0,0,0,0,0,0,5,17,2,13:48,VGK,R
8476458,Ryan,Strome,ANA,2024020037,2024-10-12,0,0,0,0,0,0,0,2,19,0,16:37,SJS,R
8478873,Troy,Terry,ANA,2024020203,2024-11-05,0,1,1,-1,0,1,0,1,20,0,17:40,VAN,H
8478873,Troy,Terry,ANA,2024020191,2024-11-03,0,1,1,-1,0,1,0,3,23,0,20:35,CHI,H
8478873,Troy,Terry,ANA,2024020163,2024-10-31,0,0,0,0,0,0,0,2,22,0,20:05,PIT,R
8478873,Troy,Terry,ANA,2024020152,2024-10-29,1,0,1,0,1,1,1,1,21,0,17:11,NYI,R
8478873,Troy,Terry,ANA,2024020137,2024-10-27,0,1,1,-3,0,0,0,2,24,0,18:49,NJD,R
8478873,Troy,Terry,ANA,2024020128,2024-10-26,0,1,1,1,0,0,0,3,21,0,20:54,NYR,R
8478873,Troy,Terry,ANA,2024020105,2024-10-22,1,0,1,0,1,1,0,4,25,0,16:14,SJS,H
8478873,Troy,Terry,ANA,2024020090,2024-10-20,0,1,1,-1,0,0,0,2,21,0,15:30,LAK,H
8478873,Troy,Terry,ANA,2024020074,2024-10-18,1,0,1,0,0,0,0,2,21,0,17:11,COL,R
8478873,Troy,Terry,ANA,2024020060,2024-10-16,1,0,1,1,0,0,0,2,22,0,18:18,UTA,H
8478873,Troy,Terry,ANA,2024020041,2024-10-13,1,0,1,0,0,0,0,3,16,0,13:45,VGK,R
8478873,Troy,Terry,ANA,2024020037,2024-10-12,0,0,0,0,0,0,0,2,16,0,14:19,SJS,R
8478366,Frank,Vatrano,ANA,2024020203,2024-11-05,0,0,0,-1,0,0,0,1,20,0,17:15,VAN,H
