Team,Player A,Player B,Correlation,Total Points A,Total Points B,pair_id
CHI,Philipp Kurashev,Teuvo Teravainen,0.5,3,8,Philipp Kurashev-Teuvo Teravainen
MTL,Brendan Gallagher,Kaiden Guhle,0.5,6,4,Brendan Gallagher-Kaiden Guhle
TBL,Brayden Point,Jake Guentzel,0.5,13,13,Brayden Point-Jake Guentzel
SEA,Joshua Mahura,Ryker Evans,0.5,8,1,Joshua Mahura-Ryker Evans
CBJ,Sean Monahan,Yegor Chinakhov,0.5,9,11,Sean Monahan-Yegor Chinakhov
NYR,Chris Kreider,Jonny Brodzinski,0.5,2,7,Chris Kreider-Jonny Brodzinski
UTA,Clayton Keller,Maveric Lamoureux,0.5,12,2,Clayton Keller-Maveric Lamoureux
CHI,Isaak Phillips,Seth Jones,0.5,9,1,Isaak Phillips-Seth Jones
BOS,Justin Brazeau,Morgan Geekie,0.5,5,2,Justin Brazeau-Morgan Geekie
BOS,Charlie Coyle,Nikita Zadorov,0.5,2,4,Charlie Coyle-Nikita Zadorov
CHI,Alex Vlasic,Isaak Phillips,0.5,1,7,Alex Vlasic-Isaak Phillips
DAL,Esa Lindell,Mavrik Bourque,0.5,2,3,Esa Lindell-Mavrik Bourque
PHI,Morgan Frost,Travis Konecny,0.5,6,14,Morgan Frost-Travis Konecny
EDM,Jeff Skinner,Noah Philp,0.5,1,6,Jeff Skinner-Noah Philp
WSH,Alex Ovechkin,Trevor van Riemsdyk,0.5,16,7,Alex Ovechkin-Trevor van Riemsdyk
PIT,Blake Lizotte,Sidney Crosby,0.5,15,1,Blake Lizotte-Sidney Crosby
CHI,Isaak Phillips,Ryan Donato,0.5,9,1,Isaak Phillips-Ryan Donato
LAK,Anze Kopitar,Brandt Clarke,0.5,15,12,Anze Kopitar-Brandt Clarke
PIT,Evgeni Malkin,Noel Acciari,0.5,4,16,Evgeni Malkin-Noel Acciari
EDM,Brett Kulak,Connor Brown,0.5,2,4,Brett Kulak-Connor Brown
SJS,Mikael Granlund,Tyler Toffoli,0.5,14,11,Mikael Granlund-Tyler Toffoli
PIT,Matt Grzelcyk,Noel Acciari,0.5,4,7,Matt Grzelcyk-Noel Acciari
NSH,Luke Evangelista,Ryan O'Reilly,0.5,6,10,Luke Evangelista-Ryan O'Reilly
NJD,Dougie Hamilton,Justin Dowling,0.5,1,8,Dougie Hamilton-Justin Dowling
PIT,Blake Lizotte,Erik Karlsson,0.5,1,8,Blake Lizotte-Erik Karlsson
NSH,Colton Sissons,Roman Josi,0.5,1,7,Colton Sissons-Roman Josi
VGK,Alex Pietrangelo,Alexander Holtz,0.5,6,12,Alex Pietrangelo-Alexander Holtz
NJD,Justin Dowling,Timo Meier,0.5,1,13,Justin Dowling-Timo Meier
NSH,Juuso Parssinen,Michael McCarron,0.5,2,2,Juuso Parssinen-Michael McCarron
NJD,Justin Dowling,Stefan Noesen,0.5,1,13,Justin Dowling-Stefan Noesen
SEA,Chandler Stephenson,Jared McCann,0.5,9,16,Chandler Stephenson-Jared McCann
SEA,Eeli Tolvanen,Joshua Mahura,0.5,5,1,Eeli Tolvanen-Joshua Mahura
DET,Erik Gustafsson,J.T. Compher,0.5,5,2,Erik Gustafsson-J.T. Compher
CHI,Isaak Phillips,Lukas Reichel,0.5,6,1,Isaak Phillips-Lukas Reichel
EDM,Noah Philp,Vasily Podkolzin,0.5,1,3,Noah Philp-Vasily Podkolzin
SEA,Jordan Eberle,Joshua Mahura,0.5,9,1,Jordan Eberle-Joshua Mahura
NYR,Jacob Trouba,Jonny Brodzinski,0.5,2,5,Jacob Trouba-Jonny Brodzinski
EDM,Darnell Nurse,Noah Philp,0.5,1,6,Darnell Nurse-Noah Philp
PIT,Jesse Puljujarvi,Michael Bunting,0.5,2,6,Jesse Puljujarvi-Michael Bunting
CHI,Ilya Mikheyev,Jason Dickinson,0.5,4,2,Ilya Mikheyev-Jason Dickinson
LAK,Anze Kopitar,Mikey Anderson,0.5,15,6,Anze Kopitar-Mikey Anderson
COL,John Ludvig,Ross Colton,0.5,9,1,John Ludvig-Ross Colton
CHI,Lukas Reichel,Seth Jones,0.49,6,9,Lukas Reichel-Seth Jones
BOS,Brad Marchand,Matthew Poitras,0.49,10,4,Brad Marchand-Matthew Poitras
NYI,Anders Lee,Kyle Palmieri,0.49,7,11,Anders Lee-Kyle Palmieri
WSH,Connor McMichael,Trevor van Riemsdyk,0.49,13,7,Connor McMichael-Trevor van Riemsdyk
DAL,Colin Blackwell,Oskar Bäck,0.49,3,1,Colin Blackwell-Oskar Bäck
OTT,Adam Gaudette,Tim Stützle,0.49,7,17,Adam Gaudette-Tim Stützle
VAN,Brock Boeser,Elias Pettersson,0.49,11,5,Brock Boeser-Elias Pettersson
NYR,Adam Edstrom,Reilly Smith,0.49,2,8,Adam Edstrom-Reilly Smith
DET,Andrew Copp,Patrick Kane,0.49,7,8,Andrew Copp-Patrick Kane
NYR,Reilly Smith,Sam Carrick,0.49,2,8,Reilly Smith-Sam Carrick
FLA,Aleksander Barkov,Evan Rodrigues,0.49,8,6,Aleksander Barkov-Evan Rodrigues
STL,Brayden Schenn,Kasperi Kapanen,0.49,1,5,Brayden Schenn-Kasperi Kapanen
DET,Alex DeBrincat,Dylan Larkin,0.49,11,10,Alex DeBrincat-Dylan Larkin
WPG,Gabriel Vilardi,Kyle Connor,0.49,19,11,Gabriel Vilardi-Kyle Connor
CAR,Martin Necas,Shayne Gostisbehere,0.49,20,9,Martin Necas-Shayne Gostisbehere
MTL,Alex Newhook,Lane Hutson,0.49,2,7,Alex Newhook-Lane Hutson
STL,Alexey Toropchenko,Brandon Saad,0.49,5,2,Alexey Toropchenko-Brandon Saad
SJS,Tyler Toffoli,William Eklund,0.49,9,11,Tyler Toffoli-William Eklund
NJD,Erik Haula,Paul Cotter,0.49,9,8,Erik Haula-Paul Cotter
BOS,Andrew Peeke,Charlie McAvoy,0.49,4,2,Andrew Peeke-Charlie McAvoy
SEA,Brandon Tanev,Jordan Eberle,0.49,9,2,Brandon Tanev-Jordan Eberle
ANA,Brett Leason,Trevor Zegras,0.49,1,3,Brett Leason-Trevor Zegras
CHI,Connor Bedard,Seth Jones,0.49,12,9,Connor Bedard-Seth Jones
COL,Chris Wagner,Josh Manson,0.49,1,5,Chris Wagner-Josh Manson
NYR,Mika Zibanejad,Reilly Smith,0.49,8,10,Mika Zibanejad-Reilly Smith
DET,Marco Kasper,Simon Edvinsson,0.49,1,4,Marco Kasper-Simon Edvinsson
CGY,Andrei Kuzmenko,Connor Zary,0.49,7,8,Andrei Kuzmenko-Connor Zary
OTT,Brady Tkachuk,Zack MacEwen,0.49,3,16,Brady Tkachuk-Zack MacEwen
VGK,Mark Stone,Shea Theodore,0.49,21,10,Mark Stone-Shea Theodore
NYR,Sam Carrick,Will Cuylle,0.49,2,8,Sam Carrick-Will Cuylle
NYR,K'Andre Miller,Will Cuylle,0.49,8,2,K'Andre Miller-Will Cuylle
FLA,Adam Boqvist,Gustav Forsling,0.48,2,8,Adam Boqvist-Gustav Forsling
OTT,Michael Amadio,Nick Cousins,0.48,2,4,Michael Amadio-Nick Cousins
PIT,Erik Karlsson,Jesse Puljujarvi,0.48,6,8,Erik Karlsson-Jesse Puljujarvi
BOS,Elias Lindholm,Pavel Zacha,0.48,8,3,Elias Lindholm-Pavel Zacha
TOR,Auston Matthews,Morgan Rielly,0.48,11,9,Auston Matthews-Morgan Rielly
DAL,Esa Lindell,Jamie Benn,0.48,5,3,Esa Lindell-Jamie Benn
SEA,Oliver Bjorkstrand,Ryker Evans,0.48,5,8,Oliver Bjorkstrand-Ryker Evans
MTL,Alex Newhook,Mike Matheson,0.48,2,9,Alex Newhook-Mike Matheson
MIN,Jared Spurgeon,Marco Rossi,0.48,10,3,Jared Spurgeon-Marco Rossi
TOR,Max Domi,Mitch Marner,0.48,6,16,Max Domi-Mitch Marner
BOS,John Beecher,Pavel Zacha,0.48,6,3,John Beecher-Pavel Zacha
CAR,Eric Robinson,Jesperi Kotkaniemi,0.48,8,6,Eric Robinson-Jesperi Kotkaniemi
NYR,Jonny Brodzinski,Kaapo Kakko,0.48,2,7,Jonny Brodzinski-Kaapo Kakko
PHI,Owen Tippett,Rasmus Ristolainen,0.48,8,2,Owen Tippett-Rasmus Ristolainen
SJS,Fabian Zetterlund,Will Smith,0.48,3,10,Fabian Zetterlund-Will Smith
TOR,Mitch Marner,Morgan Rielly,0.47,16,9,Mitch Marner-Morgan Rielly
TOR,Auston Matthews,Bobby McMann,0.47,11,4,Auston Matthews-Bobby McMann
VAN,Kiefer Sherwood,Quinn Hughes,0.47,7,12,Kiefer Sherwood-Quinn Hughes
WSH,Hendrix Lapierre,Jakub Vrana,0.47,1,4,Hendrix Lapierre-Jakub Vrana
STL,Colton Parayko,Nathan Walker,0.47,3,8,Colton Parayko-Nathan Walker
NYI,Adam Pelech,Anders Lee,0.47,7,4,Adam Pelech-Anders Lee
PIT,Erik Karlsson,Marcus Pettersson,0.47,8,6,Erik Karlsson-Marcus Pettersson
NYI,Bo Horvat,Kyle Palmieri,0.47,9,11,Bo Horvat-Kyle Palmieri
LAK,Trevor Lewis,Trevor Moore,0.47,5,7,Trevor Lewis-Trevor Moore
EDM,Connor Brown,Darnell Nurse,0.47,2,6,Connor Brown-Darnell Nurse
ANA,Frank Vatrano,Leo Carlsson,0.47,6,4,Frank Vatrano-Leo Carlsson
CGY,Brayden Pachal,Jake Bean,0.47,3,1,Brayden Pachal-Jake Bean
MIN,Mats Zuccarello,Matt Boldy,0.47,13,11,Mats Zuccarello-Matt Boldy
BUF,Henri Jokiharju,JJ Peterka,0.47,11,3,Henri Jokiharju-JJ Peterka
CGY,Jake Bean,Kevin Bahl,0.47,5,3,Jake Bean-Kevin Bahl
OTT,Brady Tkachuk,Tim Stützle,0.47,17,16,Brady Tkachuk-Tim Stützle
TBL,Anthony Cirelli,Darren Raddysh,0.47,13,1,Anthony Cirelli-Darren Raddysh
VAN,Filip Hronek,J.T. Miller,0.47,10,3,Filip Hronek-J.T. Miller
PIT,Drew O'Connor,Evgeni Malkin,0.47,16,4,Drew O'Connor-Evgeni Malkin
VGK,Brayden McNabb,Ivan Barbashev,0.47,15,2,Brayden McNabb-Ivan Barbashev
CAR,Eric Robinson,Martin Necas,0.47,20,6,Eric Robinson-Martin Necas
PHI,Cam York,Travis Sanheim,0.47,6,3,Cam York-Travis Sanheim
NSH,Alexandre Carrier,Tommy Novak,0.47,4,5,Alexandre Carrier-Tommy Novak
PHI,Noah Cates,Owen Tippett,0.47,1,8,Noah Cates-Owen Tippett
PHI,Matvei Michkov,Sean Couturier,0.47,8,10,Matvei Michkov-Sean Couturier
FLA,Anton Lundell,Dmitry Kulikov,0.47,13,3,Anton Lundell-Dmitry Kulikov
NYR,Chris Kreider,Mika Zibanejad,0.47,7,10,Chris Kreider-Mika Zibanejad
SEA,Adam Larsson,Jaden Schwartz,0.47,8,3,Adam Larsson-Jaden Schwartz
CHI,Taylor Hall,Teuvo Teravainen,0.47,6,8,Taylor Hall-Teuvo Teravainen
CHI,Philipp Kurashev,Seth Jones,0.47,3,9,Philipp Kurashev-Seth Jones
TBL,Darren Raddysh,Ryan McDonagh,0.47,4,1,Darren Raddysh-Ryan McDonagh
TBL,Emil Lilleberg,Nick Perbix,0.47,2,4,Emil Lilleberg-Nick Perbix
BUF,Henri Jokiharju,Jason Zucker,0.47,10,3,Henri Jokiharju-Jason Zucker
CBJ,Ivan Provorov,Zach Werenski,0.47,3,9,Ivan Provorov-Zach Werenski
CBJ,Justin Danforth,Mathieu Olivier,0.47,4,6,Justin Danforth-Mathieu Olivier
CBJ,Adam Fantilli,Kirill Marchenko,0.47,6,13,Adam Fantilli-Kirill Marchenko
VAN,Elias Pettersson,Teddy Blueger,0.47,6,5,Elias Pettersson-Teddy Blueger
VAN,Brock Boeser,Danton Heinen,0.47,11,6,Brock Boeser-Danton Heinen
UTA,Dylan Guenther,Lawson Crouse,0.46,4,10,Dylan Guenther-Lawson Crouse
UTA,Lawson Crouse,Logan Cooley,0.46,10,4,Lawson Crouse-Logan Cooley
BUF,Dylan Cozens,Tage Thompson,0.46,4,15,Dylan Cozens-Tage Thompson
SEA,Oliver Bjorkstrand,Yanni Gourde,0.46,5,3,Oliver Bjorkstrand-Yanni Gourde
CBJ,Adam Fantilli,Cole Sillinger,0.46,6,8,Adam Fantilli-Cole Sillinger
CBJ,Cole Sillinger,James van Riemsdyk,0.46,4,8,Cole Sillinger-James van Riemsdyk
TBL,Brayden Point,Ryan McDonagh,0.46,13,4,Brayden Point-Ryan McDonagh
CHI,Seth Jones,TJ Brodie,0.46,2,9,Seth Jones-TJ Brodie
DAL,Mason Marchment,Roope Hintz,0.46,8,8,Mason Marchment-Roope Hintz
NYR,Filip Chytil,Victor Mancini,0.46,8,4,Filip Chytil-Victor Mancini
WPG,Colin Miller,Logan Stanley,0.46,6,3,Colin Miller-Logan Stanley
NYR,Kaapo Kakko,Sam Carrick,0.46,2,7,Kaapo Kakko-Sam Carrick
CBJ,Zach Werenski,Zachary Aston-Reese,0.46,4,9,Zach Werenski-Zachary Aston-Reese
SJS,Carl Grundstrom,Tyler Toffoli,0.46,2,11,Carl Grundstrom-Tyler Toffoli
NYR,Adam Edstrom,Kaapo Kakko,0.46,2,7,Adam Edstrom-Kaapo Kakko
SEA,Adam Larsson,Jared McCann,0.46,16,3,Adam Larsson-Jared McCann
NYR,Chris Kreider,Reilly Smith,0.46,7,8,Chris Kreider-Reilly Smith
TOR,Jake McCabe,Max Domi,0.46,6,5,Jake McCabe-Max Domi
NJD,Johnathan Kovacevic,Jonas Siegenthaler,0.46,6,4,Johnathan Kovacevic-Jonas Siegenthaler
VAN,Conor Garland,Erik Brannstrom,0.46,10,2,Conor Garland-Erik Brannstrom
WSH,Taylor Raddysh,Trevor van Riemsdyk,0.46,5,7,Taylor Raddysh-Trevor van Riemsdyk
CGY,Andrei Kuzmenko,Mikael Backlund,0.46,6,7,Andrei Kuzmenko-Mikael Backlund
CAR,Jaccob Slavin,Seth Jarvis,0.46,9,4,Jaccob Slavin-Seth Jarvis
CGY,Kevin Bahl,Rasmus Andersson,0.46,11,5,Kevin Bahl-Rasmus Andersson
NJD,Dawson Mercer,Jonas Siegenthaler,0.46,8,4,Dawson Mercer-Jonas Siegenthaler
COL,Nathan MacKinnon,Nikolai Kovalenko,0.46,6,25,Nathan MacKinnon-Nikolai Kovalenko
MIN,Jonas Brodin,Matt Boldy,0.46,13,5,Jonas Brodin-Matt Boldy
NYR,Victor Mancini,Vincent Trocheck,0.46,9,4,Victor Mancini-Vincent Trocheck
CBJ,Kevin Labanc,Zachary Aston-Reese,0.45,4,6,Kevin Labanc-Zachary Aston-Reese
BUF,Owen Power,Peyton Krebs,0.45,3,9,Owen Power-Peyton Krebs
OTT,Drake Batherson,Tim Stützle,0.45,12,17,Drake Batherson-Tim Stützle
CBJ,James van Riemsdyk,Sean Monahan,0.45,11,4,James van Riemsdyk-Sean Monahan
CGY,Kevin Bahl,Tyson Barrie,0.45,5,1,Kevin Bahl-Tyson Barrie
ANA,Jackson LaCombe,Leo Carlsson,0.45,6,1,Jackson LaCombe-Leo Carlsson
EDM,Leon Draisaitl,Zach Hyman,0.45,16,5,Leon Draisaitl-Zach Hyman
ANA,Alex Killorn,Jackson LaCombe,0.45,3,1,Alex Killorn-Jackson LaCombe
ANA,Cutter Gauthier,Isac Lundestrom,0.45,4,2,Cutter Gauthier-Isac Lundestrom
MIN,Kirill Kaprizov,Marco Rossi,0.45,21,10,Kirill Kaprizov-Marco Rossi
CGY,Anthony Mantha,Yegor Sharangovich,0.45,7,1,Anthony Mantha-Yegor Sharangovich
MIN,Brock Faber,Marat Khusnutdinov,0.45,2,6,Brock Faber-Marat Khusnutdinov
OTT,Brady Tkachuk,Shane Pinto,0.45,3,16,Brady Tkachuk-Shane Pinto
STL,Brandon Saad,Oskar Sundqvist,0.45,5,1,Brandon Saad-Oskar Sundqvist
STL,Brayden Schenn,Oskar Sundqvist,0.45,5,1,Brayden Schenn-Oskar Sundqvist
VAN,Elias Pettersson,J.T. Miller,0.45,10,5,Elias Pettersson-J.T. Miller
STL,Alexandre Texier,Jordan Kyrou,0.45,11,3,Alexandre Texier-Jordan Kyrou
CAR,Jack Roslovic,Shayne Gostisbehere,0.45,7,9,Jack Roslovic-Shayne Gostisbehere
CAR,Jack Roslovic,Seth Jarvis,0.45,9,7,Jack Roslovic-Seth Jarvis
SEA,Ryker Evans,Yanni Gourde,0.45,3,8,Ryker Evans-Yanni Gourde
CGY,Kevin Bahl,Yegor Sharangovich,0.45,1,5,Kevin Bahl-Yegor Sharangovich
CBJ,Jake Christiansen,Zachary Aston-Reese,0.45,4,4,Jake Christiansen-Zachary Aston-Reese
FLA,Jesper Boqvist,Jonah Gadjovich,0.45,4,1,Jesper Boqvist-Jonah Gadjovich
TBL,Anthony Cirelli,Emil Lilleberg,0.45,13,2,Anthony Cirelli-Emil Lilleberg
PHI,Jamie Drysdale,Matvei Michkov,0.45,10,3,Jamie Drysdale-Matvei Michkov
OTT,Noah Gregor,Shane Pinto,0.45,2,3,Noah Gregor-Shane Pinto
NYR,Filip Chytil,Will Cuylle,0.45,8,8,Filip Chytil-Will Cuylle
FLA,Eetu Luostarinen,Sam Bennett,0.45,13,7,Eetu Luostarinen-Sam Bennett
OTT,Drake Batherson,Thomas Chabot,0.45,12,6,Drake Batherson-Thomas Chabot
PIT,Michael Bunting,Rickard Rakell,0.45,2,11,Michael Bunting-Rickard Rakell
CGY,Anthony Mantha,MacKenzie Weegar,0.45,7,5,Anthony Mantha-MacKenzie Weegar
VAN,Erik Brannstrom,Teddy Blueger,0.45,6,2,Erik Brannstrom-Teddy Blueger
BUF,Bowen Byram,Ryan McLeod,0.45,8,8,Bowen Byram-Ryan McLeod
NSH,Filip Forsberg,Zachary L'Heureux,0.45,10,2,Filip Forsberg-Zachary L'Heureux
SJS,Henry Thrun,Tyler Toffoli,0.44,11,1,Henry Thrun-Tyler Toffoli
STL,Justin Faulk,Pavel Buchnevich,0.44,7,5,Justin Faulk-Pavel Buchnevich
PHI,Matvei Michkov,Rasmus Ristolainen,0.44,10,2,Matvei Michkov-Rasmus Ristolainen
WPG,Colin Miller,Neal Pionk,0.44,6,13,Colin Miller-Neal Pionk
NJD,Stefan Noesen,Timo Meier,0.44,13,13,Stefan Noesen-Timo Meier
SJS,Jan Rutta,Tyler Toffoli,0.44,11,1,Jan Rutta-Tyler Toffoli
DAL,Logan Stankoven,Mason Marchment,0.44,8,10,Logan Stankoven-Mason Marchment
COL,Miles Wood,Ross Colton,0.44,9,1,Miles Wood-Ross Colton
BUF,Bowen Byram,JJ Peterka,0.44,11,8,Bowen Byram-JJ Peterka
COL,Parker Kelly,Ross Colton,0.44,9,1,Parker Kelly-Ross Colton
NJD,Paul Cotter,Stefan Noesen,0.44,9,13,Paul Cotter-Stefan Noesen
PIT,Kris Letang,Marcus Pettersson,0.44,5,6,Kris Letang-Marcus Pettersson
NYI,Anders Lee,Maxim Tsyplakov,0.44,7,8,Anders Lee-Maxim Tsyplakov
UTA,Maveric Lamoureux,Mikhail Sergachev,0.44,2,9,Maveric Lamoureux-Mikhail Sergachev
WSH,Connor McMichael,Pierre-Luc Dubois,0.44,7,13,Connor McMichael-Pierre-Luc Dubois
TOR,Matthew Knies,William Nylander,0.44,9,15,Matthew Knies-William Nylander
WPG,Adam Lowry,Rasmus Kupari,0.44,1,11,Adam Lowry-Rasmus Kupari
BUF,Alex Tuch,Mattias Samuelsson,0.44,11,1,Alex Tuch-Mattias Samuelsson
SJS,Barclay Goodrow,Tyler Toffoli,0.44,1,11,Barclay Goodrow-Tyler Toffoli
LAK,Alex Laferriere,Kyle Burroughs,0.44,13,1,Alex Laferriere-Kyle Burroughs
FLA,Anton Lundell,Matthew Tkachuk,0.44,13,8,Anton Lundell-Matthew Tkachuk
PIT,Noel Acciari,Rickard Rakell,0.44,4,11,Noel Acciari-Rickard Rakell
WPG,Colin Miller,Nikolaj Ehlers,0.44,17,6,Colin Miller-Nikolaj Ehlers
NYR,Adam Edstrom,Mika Zibanejad,0.44,2,10,Adam Edstrom-Mika Zibanejad
CHI,Alex Vlasic,Seth Jones,0.44,9,7,Alex Vlasic-Seth Jones
EDM,Adam Henrique,Connor McDavid,0.44,1,10,Adam Henrique-Connor McDavid
EDM,Darnell Nurse,Zach Hyman,0.44,5,6,Darnell Nurse-Zach Hyman
MTL,Emil Heineman,Juraj Slafkovsky,0.43,3,8,Emil Heineman-Juraj Slafkovsky
CBJ,Justin Danforth,Sean Monahan,0.43,4,11,Justin Danforth-Sean Monahan
STL,Philip Broberg,Zack Bolduc,0.43,4,9,Philip Broberg-Zack Bolduc
CBJ,Justin Danforth,Kevin Labanc,0.43,4,6,Justin Danforth-Kevin Labanc
MTL,Kirby Dach,Mike Matheson,0.43,5,9,Kirby Dach-Mike Matheson
DET,Jonatan Berggren,Simon Edvinsson,0.43,1,4,Jonatan Berggren-Simon Edvinsson
BOS,Charlie Coyle,Hampus Lindholm,0.43,2,5,Charlie Coyle-Hampus Lindholm
BOS,Cole Koepke,Mason Lohrei,0.43,7,4,Cole Koepke-Mason Lohrei
OTT,Noah Gregor,Tim Stützle,0.43,2,17,Noah Gregor-Tim Stützle
OTT,Nick Jensen,Ridly Greig,0.43,2,5,Nick Jensen-Ridly Greig
VAN,Teddy Blueger,Tyler Myers,0.43,6,2,Teddy Blueger-Tyler Myers
DET,Alex DeBrincat,Michael Rasmussen,0.43,11,4,Alex DeBrincat-Michael Rasmussen
DET,Jonatan Berggren,Michael Rasmussen,0.43,1,4,Jonatan Berggren-Michael Rasmussen
WPG,Adam Lowry,Morgan Barron,0.43,1,11,Adam Lowry-Morgan Barron
WPG,Nikolaj Ehlers,Vladislav Namestnikov,0.43,17,9,Nikolaj Ehlers-Vladislav Namestnikov
PIT,Kevin Hayes,Lars Eller,0.43,7,4,Kevin Hayes-Lars Eller
BOS,Matthew Poitras,Pavel Zacha,0.43,4,3,Matthew Poitras-Pavel Zacha
NYI,Ryan Pulock,Scott Mayfield,0.43,1,4,Ryan Pulock-Scott Mayfield
VAN,J.T. Miller,Kiefer Sherwood,0.43,10,7,J.T. Miller-Kiefer Sherwood
UTA,Mikhail Sergachev,Nick Schmaltz,0.43,11,9,Mikhail Sergachev-Nick Schmaltz
UTA,Ian Cole,Matias Maccelli,0.43,6,6,Ian Cole-Matias Maccelli
FLA,Eetu Luostarinen,Niko Mikkola,0.43,7,6,Eetu Luostarinen-Niko Mikkola
VGK,Mark Stone,Zach Whitecloud,0.43,21,1,Mark Stone-Zach Whitecloud
NJD,Nathan Bastian,Paul Cotter,0.43,5,9,Nathan Bastian-Paul Cotter
CAR,Dmitry Orlov,Jordan Martinook,0.43,4,7,Dmitry Orlov-Jordan Martinook
COL,Calvin de Haan,Ross Colton,0.43,9,1,Calvin de Haan-Ross Colton
CHI,Philipp Kurashev,Ryan Donato,0.43,9,3,Philipp Kurashev-Ryan Donato
DET,Dylan Larkin,Joe Veleno,0.43,10,2,Dylan Larkin-Joe Veleno
CBJ,Justin Danforth,Zach Werenski,0.43,4,9,Justin Danforth-Zach Werenski
FLA,Gustav Forsling,Mackie Samoskevich,0.43,8,3,Gustav Forsling-Mackie Samoskevich
ANA,Brock McGinn,Robby Fabbri,0.43,1,4,Brock McGinn-Robby Fabbri
PIT,Anthony Beauvillier,Cody Glass,0.43,4,4,Anthony Beauvillier-Cody Glass
CHI,Craig Smith,Nolan Allan,0.42,6,3,Craig Smith-Nolan Allan
MTL,Kirby Dach,Nick Suzuki,0.42,5,13,Kirby Dach-Nick Suzuki
CBJ,James van Riemsdyk,Mikael Pyyhtia,0.42,4,1,James van Riemsdyk-Mikael Pyyhtia
BUF,Beck Malenstyn,Tage Thompson,0.42,2,15,Beck Malenstyn-Tage Thompson
BOS,Andrew Peeke,Justin Brazeau,0.42,5,2,Andrew Peeke-Justin Brazeau
MTL,Cole Caufield,Lane Hutson,0.42,11,7,Cole Caufield-Lane Hutson
MTL,Alex Newhook,Cole Caufield,0.42,11,2,Alex Newhook-Cole Caufield
NSH,Mark Jankowski,Tommy Novak,0.42,1,4,Mark Jankowski-Tommy Novak
NJD,Jonas Siegenthaler,Paul Cotter,0.42,9,4,Jonas Siegenthaler-Paul Cotter
SEA,Jared McCann,Ryker Evans,0.42,16,8,Jared McCann-Ryker Evans
CHI,Craig Smith,Patrick Maroon,0.42,3,6,Craig Smith-Patrick Maroon
BOS,Brandon Carlo,Pavel Zacha,0.42,3,3,Brandon Carlo-Pavel Zacha
UTA,Jack McBain,Kevin Stenlund,0.42,5,2,Jack McBain-Kevin Stenlund
TOR,Chris Tanev,Mitch Marner,0.42,16,3,Chris Tanev-Mitch Marner
TOR,David Kampf,Jake McCabe,0.42,2,5,David Kampf-Jake McCabe
FLA,Carter Verhaeghe,Eetu Luostarinen,0.42,7,8,Carter Verhaeghe-Eetu Luostarinen
CGY,Connor Zary,Rasmus Andersson,0.42,8,11,Connor Zary-Rasmus Andersson
CAR,Jordan Martinook,Sean Walker,0.42,4,1,Jordan Martinook-Sean Walker
SJS,Alexander Wennberg,Fabian Zetterlund,0.42,7,10,Alexander Wennberg-Fabian Zetterlund
EDM,Darnell Nurse,Jeff Skinner,0.42,6,6,Darnell Nurse-Jeff Skinner
MTL,Alex Newhook,Kirby Dach,0.42,5,2,Alex Newhook-Kirby Dach
BUF,Jordan Greenway,Mattias Samuelsson,0.42,5,1,Jordan Greenway-Mattias Samuelsson
PIT,Matt Grzelcyk,Rickard Rakell,0.42,11,7,Matt Grzelcyk-Rickard Rakell
NYR,Adam Edstrom,Filip Chytil,0.42,8,2,Adam Edstrom-Filip Chytil
SEA,Brandon Tanev,Jamie Oleksiak,0.42,2,4,Brandon Tanev-Jamie Oleksiak
MIN,Brock Faber,Marcus Foligno,0.42,3,6,Brock Faber-Marcus Foligno
PHI,Egor Zamula,Owen Tippett,0.42,8,2,Egor Zamula-Owen Tippett
ANA,Brock McGinn,Pavel Mintyukov,0.42,4,2,Brock McGinn-Pavel Mintyukov
BUF,Jack Quinn,Tage Thompson,0.42,2,15,Jack Quinn-Tage Thompson
PIT,Lars Eller,Michael Bunting,0.42,2,7,Lars Eller-Michael Bunting
CBJ,Jack Johnson,Zachary Aston-Reese,0.41,4,1,Jack Johnson-Zachary Aston-Reese
OTT,Adam Gaudette,Shane Pinto,0.41,7,3,Adam Gaudette-Shane Pinto
BOS,Andrew Peeke,Charlie Coyle,0.41,2,2,Andrew Peeke-Charlie Coyle
UTA,Alexander Kerfoot,Mikhail Sergachev,0.41,4,9,Alexander Kerfoot-Mikhail Sergachev
TOR,Morgan Rielly,William Nylander,0.41,15,9,Morgan Rielly-William Nylander
PHI,Emil Andrae,Joel Farabee,0.41,6,1,Emil Andrae-Joel Farabee
MTL,Jake Evans,Kaiden Guhle,0.41,6,4,Jake Evans-Kaiden Guhle
UTA,Alexander Kerfoot,Barrett Hayton,0.41,7,4,Alexander Kerfoot-Barrett Hayton
MTL,Christian Dvorak,Emil Heineman,0.41,4,3,Christian Dvorak-Emil Heineman
MTL,Brendan Gallagher,Jayden Struble,0.41,6,2,Brendan Gallagher-Jayden Struble
MTL,Joel Armia,Kaiden Guhle,0.41,6,4,Joel Armia-Kaiden Guhle
CHI,Jason Dickinson,Philipp Kurashev,0.41,4,3,Jason Dickinson-Philipp Kurashev
LAK,Akil Thomas,Warren Foegele,0.41,6,1,Akil Thomas-Warren Foegele
LAK,Adrian Kempe,Joel Edmundson,0.41,12,5,Adrian Kempe-Joel Edmundson
MIN,Frederick Gaudreau,Jakub Lauko,0.41,6,4,Frederick Gaudreau-Jakub Lauko
