Team,Player A,Player B,Correlation,Total Points A,Total Points B,pair_id
CHI,Nick Foligno,Philipp Kurashev,0.55,37,54,Nick Foligno-Philipp Kurashev
CBJ,Adam Boqvist,Cole Sillinger,0.55,32,10,Adam Boqvist-Cole Sillinger
MIN,Kirill Kaprizov,Mats Zuccarello,0.54,96,63,Kirill Kaprizov-Mats Zuccarello
DET,Alex DeBrincat,Justin Holl,0.54,67,5,Alex DeBrincat-Justin Holl
PIT,John Ludvig,Noel Acciari,0.54,7,5,John Ludvig-Noel Acciari
PIT,Kris Letang,Marcus Pettersson,0.54,30,51,Kris Letang-Marcus Pettersson
ANA,Jamie Drysdale,Ryan Strome,0.54,41,10,Jamie Drysdale-Ryan Strome
CGY,Andrei Kuzmenko,Martin Pospisil,0.54,46,24,Andrei Kuzmenko-Martin Pospisil
CGY,Andrei Kuzmenko,Nazem Kadri,0.54,75,46,Andrei Kuzmenko-Nazem Kadri
PIT,Jesse Puljujarvi,Sidney Crosby,0.53,94,4,Jesse Puljujarvi-Sidney Crosby
SJS,Mario Ferraro,Ty Emberson,0.53,10,21,Mario Ferraro-Ty Emberson
VGK,Mark Stone,Pavel Dorofeyev,0.53,24,53,Mark Stone-Pavel Dorofeyev
WSH,Beck Malenstyn,Nic Dowd,0.53,21,22,Beck Malenstyn-Nic Dowd
WSH,Alex Ovechkin,Nicklas Backstrom,0.53,1,65,Alex Ovechkin-Nicklas Backstrom
FLA,Matthew Tkachuk,William Lockwood,0.52,1,88,Matthew Tkachuk-William Lockwood
VGK,Brendan Brisson,Zach Whitecloud,0.52,8,14,Brendan Brisson-Zach Whitecloud
CAR,Brent Burns,Sebastian Aho,0.52,89,43,Brent Burns-Sebastian Aho
CAR,Jake Guentzel,Martin Necas,0.52,53,77,Jake Guentzel-Martin Necas
CBJ,Adam Boqvist,Zach Werenski,0.52,10,57,Adam Boqvist-Zach Werenski
MIN,Jared Spurgeon,Zach Bogosian,0.52,14,5,Jared Spurgeon-Zach Bogosian
COL,Casey Mittelstadt,Mikko Rantanen,0.52,57,104,Casey Mittelstadt-Mikko Rantanen
VGK,Nicolas Roy,Tomas Hertl,0.52,38,41,Nicolas Roy-Tomas Hertl
MTL,Christian Dvorak,Rafael Harvey-Pinard,0.52,9,10,Christian Dvorak-Rafael Harvey-Pinard
MTL,Johnathan Kovacevic,Jordan Harris,0.52,14,13,Johnathan Kovacevic-Jordan Harris
VAN,Brock Boeser,Mark Friedman,0.51,73,1,Brock Boeser-Mark Friedman
VAN,Andrei Kuzmenko,Phillip Di Giuseppe,0.51,46,10,Andrei Kuzmenko-Phillip Di Giuseppe
ANA,Cam Fowler,Frank Vatrano,0.51,60,39,Cam Fowler-Frank Vatrano
CAR,Jake Guentzel,Jesper Fast,0.51,19,77,Jake Guentzel-Jesper Fast
SJS,Mikael Granlund,Tomas Hertl,0.51,60,38,Mikael Granlund-Tomas Hertl
SEA,Andre Burakovsky,Will Borgen,0.51,16,25,Andre Burakovsky-Will Borgen
PIT,Matt Nieto,Rickard Rakell,0.51,4,37,Matt Nieto-Rickard Rakell
EDM,Mattias Ekholm,Philip Broberg,0.51,2,45,Mattias Ekholm-Philip Broberg
NSH,Filip Forsberg,Gustav Nyquist,0.51,94,75,Filip Forsberg-Gustav Nyquist
FLA,Carter Verhaeghe,Matthew Tkachuk,0.51,88,72,Carter Verhaeghe-Matthew Tkachuk
BUF,Alex Tuch,Casey Mittelstadt,0.51,59,57,Alex Tuch-Casey Mittelstadt
DAL,Ty Dellandrea,Wyatt Johnston,0.5,65,9,Ty Dellandrea-Wyatt Johnston
ANA,Pavel Mintyukov,Troy Terry,0.5,54,28,Pavel Mintyukov-Troy Terry
ANA,Olen Zellweger,Sam Colangelo,0.5,1,9,Olen Zellweger-Sam Colangelo
BUF,Kale Clague,Zach Benson,0.5,30,1,Kale Clague-Zach Benson
BOS,Hampus Lindholm,Parker Wotherspoon,0.5,26,8,Hampus Lindholm-Parker Wotherspoon
PIT,Matt Nieto,Noel Acciari,0.5,7,4,Matt Nieto-Noel Acciari
BUF,JJ Peterka,Jack Quinn,0.5,50,19,JJ Peterka-Jack Quinn
DET,Alex DeBrincat,Patrick Kane,0.5,67,47,Alex DeBrincat-Patrick Kane
FLA,Carter Verhaeghe,Sam Bennett,0.5,41,72,Carter Verhaeghe-Sam Bennett
NYI,Julien Gauthier,Samuel Bolduc,0.5,9,5,Julien Gauthier-Samuel Bolduc
BUF,Connor Clifton,Kale Clague,0.5,1,18,Connor Clifton-Kale Clague
VGK,Tomas Hertl,Zach Whitecloud,0.5,38,14,Tomas Hertl-Zach Whitecloud
VGK,Brett Howden,Tomas Hertl,0.5,38,19,Brett Howden-Tomas Hertl
MIN,Joel Eriksson Ek,Matt Boldy,0.5,69,64,Joel Eriksson Ek-Matt Boldy
ANA,Olen Zellweger,Troy Terry,0.5,54,9,Olen Zellweger-Troy Terry
SJS,Jan Rutta,Mikael Granlund,0.5,60,19,Jan Rutta-Mikael Granlund
SJS,Klim Kostin,Marc-Edouard Vlasic,0.49,14,12,Klim Kostin-Marc-Edouard Vlasic
VAN,Nils Aman,Teddy Blueger,0.49,7,28,Nils Aman-Teddy Blueger
WSH,Connor McMichael,Nicklas Backstrom,0.49,1,33,Connor McMichael-Nicklas Backstrom
COL,Cale Makar,Nathan MacKinnon,0.49,140,90,Cale Makar-Nathan MacKinnon
NYI,Kyle MacLean,Pierre Engvall,0.49,28,9,Kyle MacLean-Pierre Engvall
CGY,Daniil Miromanov,Walker Duehr,0.49,7,7,Daniil Miromanov-Walker Duehr
ANA,Leo Carlsson,Pavel Mintyukov,0.49,29,28,Leo Carlsson-Pavel Mintyukov
SEA,Andre Burakovsky,Vince Dunn,0.49,16,46,Andre Burakovsky-Vince Dunn
DAL,Logan Stankoven,Ty Dellandrea,0.49,14,9,Logan Stankoven-Ty Dellandrea
DAL,Mason Marchment,Tyler Seguin,0.49,53,52,Mason Marchment-Tyler Seguin
ANA,Alex Killorn,Leo Carlsson,0.49,29,36,Alex Killorn-Leo Carlsson
ANA,Frank Vatrano,Mason McTavish,0.49,42,60,Frank Vatrano-Mason McTavish
EDM,Cody Ceci,Dylan Holloway,0.49,9,25,Cody Ceci-Dylan Holloway
PIT,Drew O'Connor,John Ludvig,0.48,33,5,Drew O'Connor-John Ludvig
PIT,Jesse Puljujarvi,Reilly Smith,0.48,4,40,Jesse Puljujarvi-Reilly Smith
CBJ,Andrew Peeke,Kirill Marchenko,0.48,10,42,Andrew Peeke-Kirill Marchenko
VAN,Brock Boeser,Quinn Hughes,0.48,73,92,Brock Boeser-Quinn Hughes
WPG,Gabriel Vilardi,Mark Scheifele,0.48,36,72,Gabriel Vilardi-Mark Scheifele
FLA,Matthew Tkachuk,Uvis Balinskis,0.48,88,3,Matthew Tkachuk-Uvis Balinskis
STL,Jordan Kyrou,Robert Thomas,0.48,86,67,Jordan Kyrou-Robert Thomas
WPG,Kyle Connor,Mark Scheifele,0.48,61,72,Kyle Connor-Mark Scheifele
VGK,Jack Eichel,Noah Hanifin,0.48,68,47,Jack Eichel-Noah Hanifin
PIT,Jake Guentzel,Reilly Smith,0.48,40,77,Jake Guentzel-Reilly Smith
VGK,Pavel Dorofeyev,Zach Whitecloud,0.47,24,14,Pavel Dorofeyev-Zach Whitecloud
COL,Mikko Rantanen,Nathan MacKinnon,0.47,140,104,Mikko Rantanen-Nathan MacKinnon
SJS,Luke Kunin,Nikita Okhotiuk,0.47,9,18,Luke Kunin-Nikita Okhotiuk
CAR,Evgeny Kuznetsov,Jake Guentzel,0.47,24,77,Evgeny Kuznetsov-Jake Guentzel
VAN,J.T. Miller,Quinn Hughes,0.47,103,92,J.T. Miller-Quinn Hughes
NYI,Bo Horvat,Mathew Barzal,0.47,80,68,Bo Horvat-Mathew Barzal
NYR,Alexis Lafrenière,Artemi Panarin,0.47,57,120,Alexis Lafrenière-Artemi Panarin
LAK,Drew Doughty,Kevin Fiala,0.47,73,50,Drew Doughty-Kevin Fiala
MIN,Kirill Kaprizov,Matt Boldy,0.47,96,69,Kirill Kaprizov-Matt Boldy
NYI,Bo Horvat,Julien Gauthier,0.47,9,68,Bo Horvat-Julien Gauthier
NYI,Mathew Barzal,Noah Dobson,0.47,80,70,Mathew Barzal-Noah Dobson
CAR,Jaccob Slavin,Jake Guentzel,0.47,37,77,Jaccob Slavin-Jake Guentzel
WSH,Dylan Strome,Sonny Milano,0.47,23,67,Dylan Strome-Sonny Milano
VAN,Conor Garland,Teddy Blueger,0.47,28,47,Conor Garland-Teddy Blueger
MTL,Christian Dvorak,Juraj Slafkovsky,0.46,9,50,Christian Dvorak-Juraj Slafkovsky
VGK,Ivan Barbashev,Jack Eichel,0.46,45,68,Ivan Barbashev-Jack Eichel
WSH,Alex Ovechkin,Evgeny Kuznetsov,0.46,24,65,Alex Ovechkin-Evgeny Kuznetsov
MIN,Marat Khusnutdinov,Marcus Johansson,0.46,30,4,Marat Khusnutdinov-Marcus Johansson
BUF,Jack Quinn,Mattias Samuelsson,0.46,19,7,Jack Quinn-Mattias Samuelsson
SJS,Jan Rutta,Ty Emberson,0.46,10,19,Jan Rutta-Ty Emberson
TOR,Conor Timmins,William Nylander,0.46,98,10,Conor Timmins-William Nylander
VGK,Brendan Brisson,Paul Cotter,0.46,25,8,Brendan Brisson-Paul Cotter
COL,Sam Malinski,Samuel Girard,0.46,18,10,Sam Malinski-Samuel Girard
VAN,Ilya Mikheyev,Vasily Podkolzin,0.46,31,2,Ilya Mikheyev-Vasily Podkolzin
DET,Ben Chiarot,Klim Kostin,0.46,20,14,Ben Chiarot-Klim Kostin
COL,Logan O'Connor,Miles Wood,0.45,25,26,Logan O'Connor-Miles Wood
TBL,Luke Glendening,Mitchell Chaffee,0.45,7,11,Luke Glendening-Mitchell Chaffee
CAR,Brendan Lemieux,Jalen Chatfield,0.45,5,22,Brendan Lemieux-Jalen Chatfield
ANA,Mason McTavish,Olen Zellweger,0.45,42,9,Mason McTavish-Olen Zellweger
VAN,Elias Pettersson,J.T. Miller,0.45,103,89,Elias Pettersson-J.T. Miller
WPG,Josh Morrissey,Kyle Connor,0.45,61,69,Josh Morrissey-Kyle Connor
CHI,Alex Vlasic,Andreas Athanasiou,0.45,9,16,Alex Vlasic-Andreas Athanasiou
VGK,Mason Morelli,Shea Theodore,0.45,4,42,Mason Morelli-Shea Theodore
DAL,Jamie Benn,Wyatt Johnston,0.45,60,65,Jamie Benn-Wyatt Johnston
SJS,Logan Couture,Nico Sturm,0.45,1,13,Logan Couture-Nico Sturm
SJS,Kyle Burroughs,Marc-Edouard Vlasic,0.45,8,12,Kyle Burroughs-Marc-Edouard Vlasic
CAR,Andrei Svechnikov,Sebastian Aho,0.45,89,52,Andrei Svechnikov-Sebastian Aho
PIT,Bryan Rust,Reilly Smith,0.45,56,40,Bryan Rust-Reilly Smith
VGK,Alex Pietrangelo,Jonas Rondbjerg,0.44,3,33,Alex Pietrangelo-Jonas Rondbjerg
STL,Justin Faulk,Nathan Walker,0.44,13,30,Justin Faulk-Nathan Walker
OTT,Jake Sanderson,Josh Norris,0.44,38,30,Jake Sanderson-Josh Norris
LAK,Adrian Kempe,Anze Kopitar,0.44,75,70,Adrian Kempe-Anze Kopitar
OTT,Mark Kastelic,Zack MacEwen,0.44,10,3,Mark Kastelic-Zack MacEwen
NYI,Ryan Pulock,Samuel Bolduc,0.44,5,19,Ryan Pulock-Samuel Bolduc
WPG,Cole Perfetti,Nate Schmidt,0.44,14,38,Cole Perfetti-Nate Schmidt
NYI,Samuel Bolduc,Scott Mayfield,0.44,5,5,Samuel Bolduc-Scott Mayfield
VAN,Mark Friedman,Pius Suter,0.44,29,1,Mark Friedman-Pius Suter
STL,Jordan Kyrou,Pavel Buchnevich,0.44,63,67,Jordan Kyrou-Pavel Buchnevich
BOS,Andrew Peeke,Hampus Lindholm,0.44,26,10,Andrew Peeke-Hampus Lindholm
ANA,Alex Killorn,Pavel Mintyukov,0.44,36,28,Alex Killorn-Pavel Mintyukov
BUF,Dylan Cozens,Jack Quinn,0.44,47,19,Dylan Cozens-Jack Quinn
ANA,Cam Fowler,Olen Zellweger,0.44,39,9,Cam Fowler-Olen Zellweger
NYR,Filip Chytil,Kaapo Kakko,0.44,6,19,Filip Chytil-Kaapo Kakko
MIN,Connor Dewar,Zach Bogosian,0.44,14,19,Connor Dewar-Zach Bogosian
DET,Andrew Copp,Michael Rasmussen,0.44,33,33,Andrew Copp-Michael Rasmussen
MIN,Joel Eriksson Ek,Mats Zuccarello,0.44,63,64,Joel Eriksson Ek-Mats Zuccarello
CGY,Daniil Miromanov,Jonathan Huberdeau,0.44,52,7,Daniil Miromanov-Jonathan Huberdeau
VGK,Mason Morelli,Zach Whitecloud,0.43,4,14,Mason Morelli-Zach Whitecloud
EDM,Brett Kulak,Evander Kane,0.43,44,16,Brett Kulak-Evander Kane
NYI,Oliver Wahlstrom,Scott Mayfield,0.43,6,5,Oliver Wahlstrom-Scott Mayfield
ANA,Isac Lundestrom,Trevor Zegras,0.43,11,15,Isac Lundestrom-Trevor Zegras
CHI,Andreas Athanasiou,Nick Foligno,0.43,9,37,Andreas Athanasiou-Nick Foligno
PIT,Evgeni Malkin,Jake Guentzel,0.43,67,77,Evgeni Malkin-Jake Guentzel
COL,Logan O'Connor,Samuel Girard,0.43,25,18,Logan O'Connor-Samuel Girard
NYI,Anders Lee,Kyle MacLean,0.43,37,9,Anders Lee-Kyle MacLean
