Team,Player A,Player B,Correlation,Total Points A,Total Points B,pair_id
NYI,Kyle MacLean,Samuel Bolduc,1.0,9,5,Kyle MacLean-Samuel Bolduc
ANA,Radko Gudas,Sam Colangelo,1.0,1,18,Radko Gudas-Sam Colangelo
ANA,Sam Colangelo,Troy Terry,1.0,1,54,Sam Colangelo-Troy Terry
ANA,Isac Lundestrom,Sam Colangelo,1.0,1,11,Isac Lundestrom-Sam Colangelo
WSH,Aliaksei Protas,Nicklas Backstrom,1.0,1,29,Aliaksei Protas-Nicklas Backstrom
WSH,Nicklas Backstrom,T.J. Oshie,1.0,1,25,Nicklas Backstrom-T.J. Oshie
MIN,Declan Chisholm,Liam Ohgren,1.0,2,9,Declan Chisholm-Liam Ohgren
MIN,Jon Merrill,Liam Ohgren,1.0,2,11,Jon Merrill-Liam Ohgren
NJD,Luke Hughes,Nolan Foote,1.0,1,47,Luke Hughes-Nolan Foote
NJD,Erik Haula,Nolan Foote,1.0,1,35,Erik Haula-Nolan Foote
BOS,Jakub Lauko,Patrick Brown,1.0,1,10,Jakub Lauko-Patrick Brown
MTL,Arber Xhekaj,Kirby Dach,1.0,2,10,Arber Xhekaj-Kirby Dach
VAN,Nils Aman,Vasily Podkolzin,1.0,7,2,Nils Aman-Vasily Podkolzin
CHI,Frank Nazar,Seth Jones,1.0,1,31,Frank Nazar-Seth Jones
MTL,Jake Evans,Kirby Dach,1.0,2,28,Jake Evans-Kirby Dach
MTL,Alex Newhook,Kirby Dach,1.0,2,34,Alex Newhook-Kirby Dach
MTL,Juraj Slafkovsky,Kirby Dach,1.0,2,50,Juraj Slafkovsky-Kirby Dach
MTL,Kirby Dach,Nick Suzuki,1.0,2,77,Kirby Dach-Nick Suzuki
MTL,Kirby Dach,Mike Matheson,1.0,2,62,Kirby Dach-Mike Matheson
WPG,Declan Chisholm,Dylan DeMelo,1.0,31,9,Declan Chisholm-Dylan DeMelo
WPG,Declan Chisholm,Josh Morrissey,1.0,9,69,Declan Chisholm-Josh Morrissey
WPG,Declan Chisholm,Dylan Samberg,1.0,9,18,Declan Chisholm-Dylan Samberg
WPG,Cole Perfetti,Declan Chisholm,1.0,9,38,Cole Perfetti-Declan Chisholm
WPG,Declan Chisholm,Gabriel Vilardi,1.0,9,36,Declan Chisholm-Gabriel Vilardi
WPG,Declan Chisholm,Morgan Barron,1.0,9,18,Declan Chisholm-Morgan Barron
FLA,Jonah Gadjovich,William Lockwood,1.0,4,1,Jonah Gadjovich-William Lockwood
MIN,Marat Khusnutdinov,Marcus Foligno,1.0,22,4,Marat Khusnutdinov-Marcus Foligno
MIN,Frederick Gaudreau,Marat Khusnutdinov,1.0,15,4,Frederick Gaudreau-Marat Khusnutdinov
BOS,John Beecher,Patrick Brown,1.0,10,1,John Beecher-Patrick Brown
CGY,Brayden Pachal,Ilya Solovyov,1.0,7,3,Brayden Pachal-Ilya Solovyov
CHI,Andreas Athanasiou,Frank Nazar,1.0,9,1,Andreas Athanasiou-Frank Nazar
VGK,Mark Stone,Mason Morelli,1.0,4,53,Mark Stone-Mason Morelli
COL,Jean-Luc Foudy,Ross Colton,1.0,40,1,Jean-Luc Foudy-Ross Colton
NJD,Jesper Bratt,Nolan Foote,0.94,83,1,Jesper Bratt-Nolan Foote
NJD,Nolan Foote,Timo Meier,0.94,1,52,Nolan Foote-Timo Meier
WPG,Axel Jonsson-Fjallby,David Gustafsson,0.89,7,5,Axel Jonsson-Fjallby-David Gustafsson
VGK,Brayden Pachal,Nicolas Hague,0.89,7,12,Brayden Pachal-Nicolas Hague
SJS,Fabian Zetterlund,Logan Couture,0.88,1,44,Fabian Zetterlund-Logan Couture
MIN,Jonas Brodin,Liam Ohgren,0.87,2,27,Jonas Brodin-Liam Ohgren
TOR,Connor Dewar,Ryan Reaves,0.84,19,6,Connor Dewar-Ryan Reaves
CGY,Dryden Hunt,Noah Hanifin,0.82,8,47,Dryden Hunt-Noah Hanifin
SJS,Logan Couture,Tomas Hertl,0.82,1,38,Logan Couture-Tomas Hertl
BOS,Andrew Peeke,Charlie Coyle,0.8,60,10,Andrew Peeke-Charlie Coyle
CAR,Brendan Lemieux,Evgeny Kuznetsov,0.8,24,5,Brendan Lemieux-Evgeny Kuznetsov
VGK,Keegan Kolesar,Mason Morelli,0.8,18,4,Keegan Kolesar-Mason Morelli
TOR,Connor Dewar,David Kampf,0.79,19,19,Connor Dewar-David Kampf
MIN,Kirill Kaprizov,Liam Ohgren,0.77,96,2,Kirill Kaprizov-Liam Ohgren
MTL,Christian Dvorak,Jordan Harris,0.77,9,14,Christian Dvorak-Jordan Harris
SJS,Matt Benning,Mikael Granlund,0.76,60,2,Matt Benning-Mikael Granlund
VGK,Brendan Brisson,Jack Eichel,0.76,8,68,Brendan Brisson-Jack Eichel
VAN,Carson Soucy,Mark Friedman,0.75,1,6,Carson Soucy-Mark Friedman
WSH,Evgeny Kuznetsov,Nicklas Backstrom,0.75,24,1,Evgeny Kuznetsov-Nicklas Backstrom
PIT,Evgeni Malkin,Michael Bunting,0.74,67,55,Evgeni Malkin-Michael Bunting
COL,Jean-Luc Foudy,Mikko Rantanen,0.73,1,104,Jean-Luc Foudy-Mikko Rantanen
NYR,Jonny Brodzinski,Zac Jones,0.73,19,9,Jonny Brodzinski-Zac Jones
COL,Cale Makar,Jean-Luc Foudy,0.73,1,90,Cale Makar-Jean-Luc Foudy
NYR,Alexis Lafrenière,Filip Chytil,0.72,6,57,Alexis Lafrenière-Filip Chytil
VGK,Jonas Rondbjerg,Nicolas Hague,0.71,3,12,Jonas Rondbjerg-Nicolas Hague
LAK,Andreas Englund,Brandt Clarke,0.7,6,10,Andreas Englund-Brandt Clarke
MIN,Jared Spurgeon,Marcus Foligno,0.7,22,5,Jared Spurgeon-Marcus Foligno
VGK,Brett Howden,Jonas Rondbjerg,0.69,19,3,Brett Howden-Jonas Rondbjerg
CAR,Dmitry Orlov,Evgeny Kuznetsov,0.69,24,26,Dmitry Orlov-Evgeny Kuznetsov
NJD,Alexander Holtz,Kurtis MacDermid,0.68,3,28,Alexander Holtz-Kurtis MacDermid
TBL,Brayden Point,Nikita Kucherov,0.68,144,90,Brayden Point-Nikita Kucherov
LAK,Brandt Clarke,Pierre-Luc Dubois,0.68,6,40,Brandt Clarke-Pierre-Luc Dubois
NJD,Kurtis MacDermid,Simon Nemec,0.68,3,19,Kurtis MacDermid-Simon Nemec
NJD,Curtis Lazar,Kurtis MacDermid,0.67,25,3,Curtis Lazar-Kurtis MacDermid
MIN,Frederick Gaudreau,Jared Spurgeon,0.67,15,5,Frederick Gaudreau-Jared Spurgeon
BOS,Andrew Peeke,Jakub Lauko,0.67,10,10,Andrew Peeke-Jakub Lauko
EDM,Dylan Holloway,Philip Broberg,0.67,9,2,Dylan Holloway-Philip Broberg
BOS,Hampus Lindholm,Patrick Brown,0.67,1,26,Hampus Lindholm-Patrick Brown
TBL,Mitchell Chaffee,Tanner Jeannot,0.67,14,7,Mitchell Chaffee-Tanner Jeannot
CHI,Ryan Donato,Taylor Hall,0.67,30,4,Ryan Donato-Taylor Hall
VGK,Ben Hutton,Brayden Pachal,0.67,7,10,Ben Hutton-Brayden Pachal
CHI,Connor Bedard,Philipp Kurashev,0.66,61,54,Connor Bedard-Philipp Kurashev
PHI,Noah Cates,Rasmus Ristolainen,0.66,4,18,Noah Cates-Rasmus Ristolainen
COL,Miles Wood,Sam Malinski,0.66,26,10,Miles Wood-Sam Malinski
BOS,Andrew Peeke,Parker Wotherspoon,0.66,10,8,Andrew Peeke-Parker Wotherspoon
VAN,Brock Boeser,J.T. Miller,0.66,73,103,Brock Boeser-J.T. Miller
FLA,Carter Verhaeghe,Uvis Balinskis,0.66,72,3,Carter Verhaeghe-Uvis Balinskis
WSH,Nicklas Backstrom,Sonny Milano,0.65,1,23,Nicklas Backstrom-Sonny Milano
CBJ,Alexandre Texier,Sean Kuraly,0.65,18,30,Alexandre Texier-Sean Kuraly
PIT,Erik Karlsson,Michael Bunting,0.65,55,56,Erik Karlsson-Michael Bunting
NYR,Adam Edstrom,Matt Rempe,0.65,2,2,Adam Edstrom-Matt Rempe
BOS,Andrew Peeke,Trent Frederic,0.65,40,10,Andrew Peeke-Trent Frederic
EDM,Darnell Nurse,Dylan Holloway,0.64,9,32,Darnell Nurse-Dylan Holloway
SJS,Givani Smith,Nikita Okhotiuk,0.64,9,4,Givani Smith-Nikita Okhotiuk
SJS,Matt Benning,Thomas Bordeleau,0.63,11,2,Matt Benning-Thomas Bordeleau
NJD,Kurtis MacDermid,Nick DeSimone,0.63,7,3,Kurtis MacDermid-Nick DeSimone
DAL,Logan Stankoven,Wyatt Johnston,0.63,65,14,Logan Stankoven-Wyatt Johnston
VGK,Pavel Dorofeyev,Tomas Hertl,0.63,24,38,Pavel Dorofeyev-Tomas Hertl
CGY,Blake Coleman,Dryden Hunt,0.63,8,54,Blake Coleman-Dryden Hunt
NYI,Jean-Gabriel Pageau,Julien Gauthier,0.62,9,33,Jean-Gabriel Pageau-Julien Gauthier
VAN,Conor Garland,Dakota Joshua,0.62,47,32,Conor Garland-Dakota Joshua
TOR,Ryan Reaves,Simon Benoit,0.62,6,5,Ryan Reaves-Simon Benoit
MTL,Christian Dvorak,Joel Armia,0.62,25,9,Christian Dvorak-Joel Armia
VGK,Jack Eichel,Tomas Hertl,0.62,68,38,Jack Eichel-Tomas Hertl
ANA,Cam Fowler,Jamie Drysdale,0.62,39,10,Cam Fowler-Jamie Drysdale
MIN,Jon Merrill,Marat Khusnutdinov,0.62,4,11,Jon Merrill-Marat Khusnutdinov
CBJ,Andrew Peeke,Ivan Provorov,0.61,10,32,Andrew Peeke-Ivan Provorov
BUF,Alex Tuch,Tage Thompson,0.61,56,59,Alex Tuch-Tage Thompson
OTT,Shane Pinto,Travis Hamonic,0.61,27,6,Shane Pinto-Travis Hamonic
BOS,Matthew Poitras,Parker Wotherspoon,0.61,15,8,Matthew Poitras-Parker Wotherspoon
VAN,Mark Friedman,Quinn Hughes,0.61,1,92,Mark Friedman-Quinn Hughes
SJS,Kyle Burroughs,Logan Couture,0.61,8,1,Kyle Burroughs-Logan Couture
ANA,Jamie Drysdale,Mason McTavish,0.61,42,10,Jamie Drysdale-Mason McTavish
CGY,Brayden Pachal,Walker Duehr,0.61,7,7,Brayden Pachal-Walker Duehr
WPG,Mason Appleton,Nino Niederreiter,0.6,36,34,Mason Appleton-Nino Niederreiter
CGY,Connor Zary,Dryden Hunt,0.6,8,34,Connor Zary-Dryden Hunt
CAR,Jake Guentzel,Sebastian Aho,0.6,89,77,Jake Guentzel-Sebastian Aho
CHI,Jason Dickinson,Landon Slaggert,0.6,35,4,Jason Dickinson-Landon Slaggert
FLA,Aleksander Barkov,Sam Reinhart,0.6,80,94,Aleksander Barkov-Sam Reinhart
NYR,Filip Chytil,K'Andre Miller,0.6,6,30,Filip Chytil-K'Andre Miller
CHI,Connor Bedard,Nick Foligno,0.59,61,37,Connor Bedard-Nick Foligno
WPG,Axel Jonsson-Fjallby,Kyle Connor,0.59,61,5,Axel Jonsson-Fjallby-Kyle Connor
STL,Robert Thomas,Torey Krug,0.58,86,39,Robert Thomas-Torey Krug
LAK,Phillip Danault,Trevor Moore,0.58,47,57,Phillip Danault-Trevor Moore
VGK,Brayden Pachal,Jonas Rondbjerg,0.58,7,3,Brayden Pachal-Jonas Rondbjerg
MIN,Liam Ohgren,Marat Khusnutdinov,0.58,4,2,Liam Ohgren-Marat Khusnutdinov
MIN,Liam Ohgren,Marcus Johansson,0.58,30,2,Liam Ohgren-Marcus Johansson
MIN,Liam Ohgren,Matt Boldy,0.58,69,2,Liam Ohgren-Matt Boldy
COL,Jean-Luc Foudy,Nathan MacKinnon,0.58,1,140,Jean-Luc Foudy-Nathan MacKinnon
TOR,Auston Matthews,Mitch Marner,0.58,85,107,Auston Matthews-Mitch Marner
BOS,Andrew Peeke,Brad Marchand,0.58,67,10,Andrew Peeke-Brad Marchand
NJD,Curtis Lazar,Nathan Bastian,0.58,12,25,Curtis Lazar-Nathan Bastian
DAL,Joel Hanley,Miro Heiskanen,0.58,5,54,Joel Hanley-Miro Heiskanen
SJS,Justin Bailey,Matt Benning,0.58,14,2,Justin Bailey-Matt Benning
MIN,Joel Eriksson Ek,Liam Ohgren,0.58,2,64,Joel Eriksson Ek-Liam Ohgren
STL,Pavel Buchnevich,Robert Thomas,0.57,86,63,Pavel Buchnevich-Robert Thomas
STL,Nathan Walker,Nikita Alexandrov,0.57,13,2,Nathan Walker-Nikita Alexandrov
TOR,Conor Timmins,Mitch Marner,0.57,85,10,Conor Timmins-Mitch Marner
ANA,Frank Vatrano,Ryan Strome,0.57,41,60,Frank Vatrano-Ryan Strome
CAR,Brendan Lemieux,Dmitry Orlov,0.57,5,26,Brendan Lemieux-Dmitry Orlov
PIT,Jesse Puljujarvi,Ryan Graves,0.57,4,14,Jesse Puljujarvi-Ryan Graves
WPG,Adam Lowry,Nino Niederreiter,0.57,35,34,Adam Lowry-Nino Niederreiter
COL,Miles Wood,Ross Colton,0.57,40,26,Miles Wood-Ross Colton
WSH,Dylan Strome,Nicklas Backstrom,0.57,1,67,Dylan Strome-Nicklas Backstrom
CBJ,Boone Jenner,Johnny Gaudreau,0.56,60,35,Boone Jenner-Johnny Gaudreau
CBJ,Ivan Provorov,Kent Johnson,0.56,16,32,Ivan Provorov-Kent Johnson
PIT,Bryan Rust,Jake Guentzel,0.56,56,77,Bryan Rust-Jake Guentzel
MIN,Joel Eriksson Ek,Kirill Kaprizov,0.56,96,64,Joel Eriksson Ek-Kirill Kaprizov
WPG,Adam Lowry,Mason Appleton,0.56,36,35,Adam Lowry-Mason Appleton
NJD,Dougie Hamilton,Ondrej Palat,0.56,31,16,Dougie Hamilton-Ondrej Palat
COL,Artturi Lehkonen,Bowen Byram,0.55,29,34,Artturi Lehkonen-Bowen Byram
VAN,Dakota Joshua,Teddy Blueger,0.55,28,32,Dakota Joshua-Teddy Blueger
COL,Cale Makar,Mikko Rantanen,0.55,104,90,Cale Makar-Mikko Rantanen
DET,Justin Holl,Lucas Raymond,0.55,72,5,Justin Holl-Lucas Raymond
SJS,Justin Bailey,Thomas Bordeleau,0.55,14,11,Justin Bailey-Thomas Bordeleau
